r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.420058 -1.291677 -0.364725 0.012854 -0.000091 -0.000002 -124.121153 0 1 0 0 0 0
3.401815 -1.192317 -0.340290 0.011688 -0.000117 -0.000001 -134.537374 0 1 0 0 0 0
3.386008 -1.092958 -0.314852 0.010831 -0.000142 -0.000000 -144.120233 0 1 0 0 0 0
3.372181 -0.993598 -0.288581 0.010086 -0.000157 0.000000 -153.017913 0 1 0 0 0 0
3.359854 -0.894238 -0.261632 0.009362 -0.000160 0.000000 -161.249244 0 1 0 0 0 0
3.353265 -0.794878 -0.233477 0.008198 -0.000108 -0.000000 -168.435709 0 1 0 0 0 0
3.349780 -0.695518 -0.204717 0.006776 -0.000043 -0.000000 -174.083540 0 1 0 0 0 0
3.347500 -0.596159 -0.175711 0.005174 0.000009 -0.000000 -178.326985 0 1 0 0 0 0
3.346017 -0.496799 -0.146556 0.003385 0.000038 -0.000000 -181.325727 0 1 0 0 0 0
3.344891 -0.397439 -0.117324 0.001524 0.000034 0.000000 -183.248494 0 1 0 0 0 0
3.344136 -0.298079 -0.088032 -0.000002 0.000014 0.000000 -184.447758 0 1 0 0 0 0
3.343881 -0.198720 -0.058697 -0.000527 0.000001 0.000000 -185.080219 0 1 0 0 0 0
3.344127 -0.102902 -0.030391 -0.000267 -0.000000 0.000000 -185.394549 0 1 0 0 0 0
3.344217 0.000010 0.000003 -0.000006 -0.000000 -0.000000 -185.573425 0 1 0 0 0 0
3.344086 0.085594 0.025279 -0.000988 -0.000003 -0.000000 -185.548922 0 1 0 0 0 0
3.344722 0.198720 0.058668 -0.000203 -0.000001 -0.000000 -185.342182 0 1 0 0 0 0
3.345121 0.298079 0.087981 -0.000517 -0.000003 -0.000000 -184.874143 0 1 0 0 0 0
3.345804 0.397439 0.117260 -0.000923 -0.000005 -0.000000 -184.069471 0 1 0 0 0 0
3.346789 0.496799 0.146488 -0.001697 -0.000004 -0.000000 -182.870269 0 1 0 0 0 0
3.348158 0.596159 0.175642 -0.002751 -0.000001 0.000000 -181.179972 0 1 0 0 0 0
3.349866 0.695518 0.204707 -0.002647 -0.000030 -0.000000 -178.747664 0 1 0 0 0 0
3.351867 0.794878 0.233672 -0.001611 -0.000086 -0.000001 -175.131857 0 1 0 0 0 0
3.354147 0.894238 0.262523 -0.000400 -0.000151 -0.000002 -170.202335 0 1 0 0 0 0
3.356676 0.993598 0.291253 0.000870 -0.000222 -0.000004 -163.807190 0 1 0 0 0 0
3.359453 1.092958 0.319849 0.002133 -0.000298 -0.000006 -155.812830 0 1 0 0 0 0
3.362508 1.192317 0.348292 0.003350 -0.000380 -0.000010 -146.100974 0 1 0 0 0 0
3.365958 1.291677 0.376544 0.004489 -0.000468 -0.000014 -134.561378 0 1 0 0 0 0
3.375455 1.391037 0.403230 0.004278 -0.000586 -0.000018 -121.150799 0 1 0 0 0 0
3.389149 1.490397 0.428548 0.003185 -0.000727 -0.000021 -106.498644 0 1 0 0 0 0
3.403965 1.589756 0.453147 0.001943 -0.000876 -0.000025 -90.735170 0 1 0 0 0 0
3.419723 1.689116 0.477042 0.000631 -0.001033 -0.000028 -73.850737 0 1 0 0 0 0
3.436344 1.788476 0.500229 -0.000683 -0.001199 -0.000032 -55.825667 0 1 0 0 0 0
3.452297 1.887836 0.523150 -0.001599 -0.001384 -0.000036 -36.595104 0 1 0 0 0 0
3.459671 1.987196 0.548340 -0.000391 -0.001623 -0.000047 -15.393540 0 1 0 0 0 0
3.466724 2.086555 0.573416 0.001020 -0.001870 -0.000059 8.224622 0 1 0 0 0 0
3.474267 2.185915 0.598116 0.002477 -0.002122 -0.000073 34.406222 0 1 0 0 0 0
3.482399 2.285275 0.622386 0.003988 -0.002374 -0.000087 63.344679 0 1 0 0 0 0
3.491246 2.384635 0.646159 0.005560 -0.002623 -0.000102 95.269632 0 1 0 0 0 0
3.500967 2.483994 0.669350 0.007199 -0.002868 -0.000117 130.456442 0 1 0 0 0 0
