r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.055951 -1.291677 -0.456814 0.021728 -0.000823 0.000014 -79.325293 0 1 0 0 0 0
3.007320 -1.140189 -0.416386 0.017509 -0.000681 0.000017 -86.243323 0 1 0 0 0 0
2.983969 -1.092958 -0.405409 0.016151 -0.000628 0.000016 -89.853900 0 1 0 0 0 0
3.247352 1.830467 0.573300 -0.014684 -0.001967 0.000179 981.593938 0 1 0 0 0 0
2.932937 -0.894238 -0.343342 0.010407 -0.000334 0.000007 -99.226422 0 1 0 0 0 0
2.912526 -0.794878 -0.309485 0.007934 -0.000214 0.000003 -101.965589 0 1 0 0 0 0
2.895041 -0.695518 -0.274080 0.005757 -0.000120 0.000001 -103.766200 0 1 0 0 0 0
2.880360 -0.596159 -0.237327 0.003885 -0.000052 -0.000000 -104.833266 0 1 0 0 0 0
2.868339 -0.496799 -0.199434 0.002327 -0.000011 -0.000000 -105.321460 0 1 0 0 0 0
2.858788 -0.397439 -0.160615 0.001123 0.000007 -0.000000 -105.354185 0 1 0 0 0 0
2.851449 -0.298079 -0.121082 0.000375 0.000007 -0.000000 -105.049151 0 1 0 0 0 0
2.845918 -0.198720 -0.081035 0.000088 0.000003 -0.000000 -104.543833 0 1 0 0 0 0
2.842396 -0.099343 -0.040611 0.000001 0.000000 0.000000 -104.174573 0 1 0 0 0 0
2.843433 0.026130 0.010674 -0.000527 -0.000010 -0.000000 -103.857892 0 1 0 0 0 0
3.336869 1.952211 0.579065 -0.015702 -0.002108 0.000192 635.497932 0 1 0 0 0 0
2.845741 0.198617 0.081003 0.000069 -0.000001 -0.000000 -104.556079 0 1 0 0 0 0
2.851278 0.298079 0.121096 0.000078 -0.000005 -0.000000 -105.161870 0 1 0 0 0 0
2.858855 0.397439 0.160607 -0.000086 -0.000014 -0.000000 -105.974514 0 1 0 0 0 0
0 1 0 0 0 0
2.878898 0.596159 0.237568 0.000097 -0.000051 -0.000001 -107.780502 0 1 0 0 0 0
3.285847 -1.435208 -0.439035 0.011758 0.001576 -0.000144 520.750045 0 1 0 0 0 0
2.902475 0.794878 0.311632 0.002385 -0.000096 -0.000003 -108.565398 0 1 0 0 0 0
2.915973 0.894238 0.347348 0.003660 -0.000124 -0.000005 -108.358479 0 1 0 0 0 0
2.930590 0.993598 0.382102 0.004959 -0.000159 -0.000007 -107.651618 0 1 0 0 0 0
2.946323 1.092958 0.415835 0.006254 -0.000201 -0.000010 -106.365193 0 1 0 0 0 0
2.963188 1.192317 0.448489 0.007530 -0.000253 -0.000015 -104.414316 0 1 0 0 0 0
0 1 0 0 0 0
3.000445 1.391037 0.510324 0.009998 -0.000388 -0.000025 -98.145254 0 1 0 0 0 0
3.020966 1.490397 0.539373 0.011180 -0.000471 -0.000031 -93.617230 0 1 0 0 0 0
3.042902 1.589756 0.567066 0.012315 -0.000565 -0.000038 -87.999451 0 1 0 0 0 0
3.066446 1.689116 0.593291 0.013382 -0.000670 -0.000045 -81.150321 0 1 0 0 0 0
3.247400 1.830466 0.573282 -0.014686 -0.001967 0.000179 994.038939 0 1 0 0 0 0
3.119681 1.887836 0.640653 0.015170 -0.000914 -0.000059 -63.082099 0 1 0 0 0 0
0 1 0 0 0 0
3.247352 1.830467 0.573300 -0.014684 -0.001967 0.000179 981.595724 0 1 0 0 0 0
3.227738 2.185915 0.692972 0.013979 -0.001761 -0.000094 -24.395999 0 1 0 0 0 0
3.247352 1.830467 0.573300 -0.014684 -0.001967 0.000179 981.595724 0 1 0 0 0 0
3.317058 2.384635 0.715804 0.011677 -0.002486 -0.000120 6.518128 0 1 0 0 0 0
3.247352 1.830467 0.573300 -0.014684 -0.001967 0.000179 981.595724 0 1 0 0 0 0
