r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.059916 -1.291677 -0.455631 0.020227 -0.000661 0.000006 -224.743371 0 1 0 0 0 0
3.035844 -1.192317 -0.427279 0.017922 -0.000622 0.000009 -227.959471 0 1 0 0 0 0
3.013169 -1.092958 -0.397590 0.015542 -0.000567 0.000011 -232.046139 0 1 0 0 0 0
2.987640 -0.993598 -0.367648 0.013207 -0.000485 0.000010 -236.664863 0 1 0 0 0 0
2.959655 -0.894238 -0.337170 0.010976 -0.000369 0.000006 -240.252080 0 1 0 0 0 0
2.936079 -0.794878 -0.304540 0.008796 -0.000258 0.000003 -242.721265 0 1 0 0 0 0
2.916430 -0.695518 -0.270075 0.006692 -0.000160 0.000001 -244.310506 0 1 0 0 0 0
2.900443 -0.596159 -0.234052 0.004694 -0.000080 0.000000 -245.222221 0 1 0 0 0 0
2.887930 -0.496799 -0.196737 0.002858 -0.000025 -0.000000 -245.616989 0 1 0 0 0 0
2.878649 -0.397439 -0.158406 0.001301 0.000004 -0.000000 -245.614297 0 1 0 0 0 0
2.872226 -0.298079 -0.119337 0.000288 0.000009 -0.000000 -245.304739 0 1 0 0 0 0
2.868319 -0.198720 -0.079775 0.000029 0.000003 -0.000000 -244.780685 0 1 0 0 0 0
2.866354 -0.099360 -0.039942 -0.000018 0.000000 0.000000 -244.345872 0 1 0 0 0 0
2.865787 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -244.200684 0 1 0 0 0 0
2.866408 0.099360 0.039940 0.000003 -0.000000 -0.000000 -244.356146 0 1 0 0 0 0
2.868132 0.198720 0.079785 -0.000059 -0.000002 -0.000000 -244.808191 0 1 0 0 0 0
2.870980 0.298079 0.119440 -0.000262 -0.000006 -0.000000 -245.547239 0 1 0 0 0 0
2.875269 0.397439 0.158779 -0.000808 -0.000018 -0.000000 -246.529220 0 1 0 0 0 0
2.881288 0.496799 0.197645 -0.001178 -0.000039 -0.000000 -247.636121 0 1 0 0 0 0
2.888807 0.596159 0.235941 -0.000418 -0.000062 -0.000001 -248.580069 0 1 0 0 0 0
2.898079 0.695518 0.273506 0.000735 -0.000083 -0.000002 -249.240613 0 1 0 0 0 0
2.908947 0.794878 0.310247 0.002059 -0.000104 -0.000003 -249.560637 0 1 0 0 0 0
2.921213 0.894238 0.346103 0.003482 -0.000123 -0.000004 -249.479487 0 1 0 0 0 0
2.934706 0.993598 0.381031 0.004951 -0.000143 -0.000006 -248.947342 0 1 0 0 0 0
2.949300 1.092958 0.414996 0.006430 -0.000164 -0.000009 -247.922207 0 1 0 0 0 0
2.964901 1.192317 0.447971 0.007893 -0.000190 -0.000012 -246.367855 0 1 0 0 0 0
2.981449 1.291677 0.479930 0.009326 -0.000220 -0.000015 -244.252460 0 1 0 0 0 0
2.998909 1.391037 0.510847 0.010717 -0.000255 -0.000019 -241.547561 0 1 0 0 0 0
3.017264 1.490397 0.540697 0.012061 -0.000298 -0.000024 -238.227156 0 1 0 0 0 0
3.036511 1.589756 0.569455 0.013357 -0.000348 -0.000028 -234.266708 0 1 0 0 0 0
3.056659 1.689116 0.597096 0.014608 -0.000405 -0.000033 -229.641856 0 1 0 0 0 0
3.077731 1.788476 0.623592 0.015820 -0.000469 -0.000039 -224.326607 0 1 0 0 0 0
3.099765 1.887836 0.648911 0.017001 -0.000542 -0.000044 -218.290881 0 1 0 0 0 0
3.122817 1.987196 0.673017 0.018159 -0.000622 -0.000050 -211.497466 0 1 0 0 0 0
3.146969 2.086555 0.695863 0.019300 -0.000710 -0.000056 -203.898582 0 1 0 0 0 0
3.172323 2.185915 0.717393 0.020429 -0.000808 -0.000063 -195.432380 0 1 0 0 0 0
3.199018 2.285275 0.737537 0.021539 -0.000917 -0.000070 -186.019940 0 1 0 0 0 0
3.227275 2.384635 0.756186 0.022610 -0.001044 -0.000078 -175.559709 0 1 0 0 0 0
3.257827 2.483994 0.772989 0.023374 -0.001318 -0.000097 -163.907227 0 1 0 0 0 0
