r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.053189 -1.291677 -0.457641 0.020200 -0.000653 0.000006 -156.686357 0 1 0 0 0 0
3.028815 -1.192317 -0.429264 0.018002 -0.000623 0.000009 -159.721490 0 1 0 0 0 0
3.006055 -1.092958 -0.399474 0.015695 -0.000574 0.000011 -163.658339 0 1 0 0 0 0
2.981113 -0.993598 -0.369260 0.013388 -0.000501 0.000011 -168.247300 0 1 0 0 0 0
2.951960 -0.894238 -0.338931 0.011158 -0.000383 0.000007 -171.923237 0 1 0 0 0 0
2.927319 -0.794878 -0.306365 0.008961 -0.000269 0.000004 -174.449506 0 1 0 0 0 0
2.906710 -0.695518 -0.271884 0.006830 -0.000168 0.000002 -176.068830 0 1 0 0 0 0
2.889894 -0.596159 -0.235764 0.004802 -0.000086 0.000000 -176.990763 0 1 0 0 0 0
2.876717 -0.496799 -0.198274 0.002934 -0.000028 -0.000000 -177.382740 0 1 0 0 0 0
2.866960 -0.397439 -0.159700 0.001342 0.000003 -0.000000 -177.369926 0 1 0 0 0 0
2.860256 -0.298079 -0.120337 0.000295 0.000008 -0.000000 -177.046585 0 1 0 0 0 0
2.856253 -0.198720 -0.080450 0.000026 0.000002 -0.000000 -176.507211 0 1 0 0 0 0
2.854289 -0.099360 -0.040280 -0.000019 0.000000 0.000000 -176.058656 0 1 0 0 0 0
2.853725 0.000000 0.000000 -0.000002 -0.000000 -0.000000 -175.908270 0 1 0 0 0 0
2.854333 0.099360 0.040279 0.000002 -0.000000 -0.000000 -176.067800 0 1 0 0 0 0
2.856027 0.198720 0.080463 -0.000063 -0.000002 -0.000000 -176.533207 0 1 0 0 0 0
2.858833 0.298079 0.120457 -0.000272 -0.000006 -0.000000 -177.294506 0 1 0 0 0 0
2.863099 0.397439 0.160131 -0.000830 -0.000017 -0.000000 -178.304678 0 1 0 0 0 0
2.869162 0.496799 0.199319 -0.001189 -0.000038 -0.000000 -179.441896 0 1 0 0 0 0
2.876910 0.596159 0.237897 -0.000419 -0.000061 -0.000001 -180.412529 0 1 0 0 0 0
2.886556 0.695518 0.275694 0.000737 -0.000082 -0.000002 -181.098877 0 1 0 0 0 0
2.897900 0.794878 0.312617 0.002067 -0.000102 -0.000003 -181.443130 0 1 0 0 0 0
2.910720 0.894238 0.348603 0.003495 -0.000121 -0.000004 -181.386306 0 1 0 0 0 0
2.924833 0.993598 0.383608 0.004968 -0.000140 -0.000006 -180.880894 0 1 0 0 0 0
2.940099 1.092958 0.417598 0.006449 -0.000161 -0.000009 -179.887465 0 1 0 0 0 0
2.956416 1.192317 0.450546 0.007913 -0.000185 -0.000012 -178.372497 0 1 0 0 0 0
2.973713 1.291677 0.482430 0.009342 -0.000214 -0.000015 -176.306991 0 1 0 0 0 0
2.991947 1.391037 0.513227 0.010726 -0.000250 -0.000019 -173.665447 0 1 0 0 0 0
3.011089 1.490397 0.542917 0.012060 -0.000291 -0.000023 -170.424936 0 1 0 0 0 0
3.031126 1.589756 0.571481 0.013344 -0.000340 -0.000028 -166.563992 0 1 0 0 0 0
3.052055 1.689116 0.598899 0.014582 -0.000397 -0.000033 -162.061104 0 1 0 0 0 0
3.073887 1.788476 0.625152 0.015780 -0.000460 -0.000038 -156.892609 0 1 0 0 0 0
3.096652 1.887836 0.650217 0.016949 -0.000532 -0.000044 -151.029950 0 1 0 0 0 0
3.120397 1.987196 0.674062 0.018097 -0.000611 -0.000049 -144.436451 0 1 0 0 0 0
3.145192 2.086555 0.696649 0.019232 -0.000698 -0.000055 -137.063894 0 1 0 0 0 0
3.171130 2.185915 0.717933 0.020357 -0.000795 -0.000062 -128.849205 0 1 0 0 0 0
3.198340 2.285275 0.737850 0.021467 -0.000904 -0.000069 -119.711807 0 1 0 0 0 0
3.227016 2.384635 0.756307 0.022544 -0.001029 -0.000077 -109.552331 0 1 0 0 0 0
3.257434 2.483994 0.773175 0.023493 -0.001217 -0.000090 -98.213948 0 1 0 0 0 0
