r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.194621 -15.667920 -0.295032 0.691228 -0.099186 0.002040 -1269.512453 0 1 0 0 0 0
5.176043 -14.462695 -0.274296 0.674479 -0.098956 0.004304 -1269.343848 0 1 0 0 0 0
5.163490 -13.257471 -0.252662 0.677546 -0.097803 0.006852 -1269.387789 0 1 0 0 0 0
5.148224 -12.052246 -0.231057 0.627056 -0.089463 0.008155 -1269.616558 0 1 0 0 0 0
5.132431 -10.847022 -0.209233 0.559514 -0.081808 0.009150 -1269.636086 0 1 0 0 0 0
5.118428 -9.641797 -0.187004 0.516610 -0.076420 0.009192 -1269.022451 0 1 0 0 0 0
5.107422 -8.436572 -0.164334 0.459851 -0.067872 0.008496 -1267.755719 0 1 0 0 0 0
5.097891 -7.231348 -0.141385 0.280981 -0.028004 0.003273 -1266.698473 0 1 0 0 0 0
5.091527 -6.026123 -0.118116 0.192648 -0.000181 0.000412 -1266.268448 0 1 0 0 0 0
5.086393 -4.820898 -0.094683 0.209266 -0.002465 0.001438 -1265.708135 0 1 0 0 0 0
5.083663 -3.615674 -0.071089 0.270505 -0.005952 0.003167 -1264.986859 0 1 0 0 0 0
5.082781 -2.410449 -0.047409 0.342588 -0.004261 0.005176 -1264.264684 0 1 0 0 0 0
5.082495 -1.205225 -0.023707 0.379400 0.001770 0.006225 -1263.564596 0 1 0 0 0 0
5.078919 0.029737 0.000586 -0.021328 0.000018 0.000018 -1262.935639 0 1 0 0 0 0
5.081119 1.205225 0.023720 0.320042 0.014757 0.003417 -1263.447116 0 1 0 0 0 0
5.081853 2.410449 0.047426 0.282173 0.017188 0.002095 -1263.872187 0 1 0 0 0 0
5.085561 3.615674 0.071036 0.223126 0.011452 0.000062 -1264.205737 0 1 0 0 0 0
5.091314 4.820898 0.094500 0.121438 -0.003921 -0.001998 -1264.711930 0 1 0 0 0 0
5.098052 6.026123 0.117813 0.031826 -0.015584 -0.001343 -1265.468413 0 1 0 0 0 0
5.104098 7.231348 0.141041 0.022320 -0.016993 0.000731 -1266.197217 0 1 0 0 0 0
5.108203 8.436572 0.164284 0.000810 -0.015900 0.002159 -1267.086958 0 1 0 0 0 0
5.113259 9.641797 0.187382 0.001048 -0.016943 0.002357 -1268.292901 0 1 0 0 0 0
5.117222 10.847022 0.210478 0.384826 0.055608 0.012691 -1269.410395 0 1 0 0 0 0
5.125898 12.052246 0.233074 0.584440 0.109309 0.025368 -1270.881525 0 1 0 0 0 0
5.136541 13.257471 0.255320 0.750586 0.160175 0.035679 -1271.823608 0 1 0 0 0 0
5.148389 14.462695 0.277250 0.934036 0.217211 0.046374 -1272.471348 0 1 0 0 0 0
5.162176 15.667920 0.298752 1.093046 0.261048 0.054423 -1272.795543 0 1 0 0 0 0
5.177353 16.873145 0.319850 1.213983 0.279512 0.056072 -1272.662437 0 1 0 0 0 0
5.191714 18.078369 0.340803 1.292249 0.269861 0.048657 -1272.163992 0 1 0 0 0 0
5.204650 19.283594 0.361718 1.251553 0.221834 0.030811 -1271.680670 0 1 0 0 0 0
5.219823 20.488819 0.382094 1.261244 0.200193 0.017378 -1271.476206 0 1 0 0 0 0
5.237664 21.694043 0.401819 1.422405 0.227844 0.011640 -1270.893772 0 1 0 0 0 0
5.253916 22.899268 0.421522 1.668600 0.264906 -0.001150 -1270.357658 0 1 0 0 0 0
5.273004 24.104492 0.440501 1.856615 0.291271 -0.011851 -1269.972301 0 1 0 0 0 0
5.293321 25.309717 0.458983 1.968837 0.301651 -0.020556 -1269.161450 0 1 0 0 0 0
5.312166 26.514942 0.477433 2.008479 0.289343 -0.030817 -1267.875553 0 1 0 0 0 0
5.329100 27.720166 0.495968 2.066146 0.289808 -0.040057 -1266.507935 0 1 0 0 0 0
5.345784 28.925395 0.514306 2.123825 0.293298 -0.048863 -1265.181587 0 1 0 0 0 0
5.360817 30.130616 0.532735 2.002055 0.251792 -0.055111 -1264.082757 0 1 0 0 0 0
