r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.209271 -15.667920 -0.293375 0.616169 -0.052792 -0.010538 -1258.077905 0 1 0 0 0 0
5.191762 -14.462695 -0.272637 0.582667 -0.055564 -0.006892 -1258.228813 0 1 0 0 0 0
5.178316 -13.257471 -0.251217 0.577258 -0.057326 -0.003492 -1258.746939 0 1 0 0 0 0
5.163961 -12.052246 -0.229650 0.564658 -0.056601 -0.000478 -1259.737474 0 1 0 0 0 0
5.148202 -10.847022 -0.207953 0.532943 -0.057114 0.001220 -1259.980494 0 1 0 0 0 0
5.135448 -9.641797 -0.185766 0.500700 -0.056249 0.002693 -1259.399736 0 1 0 0 0 0
5.126427 -8.436572 -0.163118 0.240176 -0.011513 -0.000652 -1258.896477 0 1 0 0 0 0
5.116974 -7.231348 -0.140332 0.103719 0.015876 -0.001972 -1258.900323 0 1 0 0 0 0
5.109313 -6.026123 -0.117295 0.044017 0.020599 -0.001734 -1258.454699 0 1 0 0 0 0
5.103882 -4.820898 -0.094036 0.022455 0.016349 -0.001169 -1257.631838 0 1 0 0 0 0
5.100229 -3.615674 -0.070628 0.044217 0.007246 -0.000425 -1256.634017 0 1 0 0 0 0
5.098419 -2.385205 -0.046625 0.015384 0.002482 -0.000276 -1255.618727 0 1 0 0 0 0
5.097145 -1.205226 -0.023571 -0.010153 0.000512 -0.000010 -1254.840766 0 1 0 0 0 0
5.096697 0.000032 0.000001 0.000180 0.000001 -0.000000 -1254.535243 0 1 0 0 0 0
5.100297 1.205225 0.023542 0.362513 0.003847 0.001596 -1255.067036 0 1 0 0 0 0
5.100129 2.410449 0.047087 0.237623 -0.000450 -0.000269 -1255.618015 0 1 0 0 0 0
5.102488 3.615674 0.070565 0.121466 -0.006289 -0.000716 -1256.438485 0 1 0 0 0 0
5.106697 4.820898 0.093932 0.023886 -0.015750 -0.000240 -1257.435145 0 1 0 0 0 0
5.112020 6.026123 0.117170 -0.029257 -0.025431 0.000455 -1258.388304 0 1 0 0 0 0
5.119114 7.231348 0.140215 -0.085636 -0.032480 0.001489 -1259.074322 0 1 0 0 0 0
5.125843 8.436572 0.163155 -0.089467 -0.029672 0.003758 -1259.424743 0 1 0 0 0 0
5.131623 9.641797 0.186043 -0.074987 -0.026019 0.004849 -1259.900054 0 1 0 0 0 0
5.139413 10.847022 0.208665 -0.034647 -0.028929 0.004542 -1260.438504 0 1 0 0 0 0
5.148435 12.052246 0.231038 0.067538 -0.028168 0.004223 -1260.495866 0 1 0 0 0 0
5.149470 13.257471 0.254039 0.413689 0.041172 0.012427 -1260.603983 0 1 0 0 0 0
5.158883 14.462695 0.276123 0.518601 0.055551 0.011682 -1260.477129 0 1 0 0 0 0
5.169930 15.667920 0.297857 0.564195 0.058008 0.008859 -1259.742405 0 1 0 0 0 0
5.182324 16.873145 0.319236 0.553534 0.050925 0.007298 -1259.077423 0 1 0 0 0 0
5.196622 18.078369 0.340159 0.552180 0.040086 0.007186 -1258.275589 0 1 0 0 0 0
5.210745 19.283594 0.360872 0.585855 0.023084 0.003064 -1256.598720 0 1 0 0 0 0
5.224140 20.488819 0.381463 0.636842 -0.002620 -0.007023 -1254.271523 0 1 0 0 0 0
5.242177 21.694043 0.401128 0.548525 -0.029109 -0.008427 -1251.668777 0 1 0 0 0 0
5.260512 22.899268 0.420466 0.476332 -0.060802 -0.014022 -1249.581482 0 1 0 0 0 0
5.278563 24.104492 0.439574 0.445077 -0.090854 -0.017694 -1247.334314 0 1 0 0 0 0
5.299436 25.309717 0.457924 0.387978 -0.121148 -0.014238 -1244.645377 0 1 0 0 0 0
5.320503 26.514942 0.475938 0.328867 -0.155097 -0.009375 -1241.655080 0 1 0 0 0 0
5.339772 27.720166 0.493987 0.321793 -0.181728 -0.010036 -1238.394609 0 1 0 0 0 0
5.358661 28.925391 0.511837 0.340623 -0.204510 -0.013337 -1234.816320 0 1 0 0 0 0
5.378557 30.130616 0.529227 0.362200 -0.224103 -0.016205 -1230.771449 0 1 0 0 0 0
