r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.058648 -1.291677 -0.456009 0.019706 -0.000593 0.000003 -161.374044 0 1 0 0 0 0
3.035818 -1.192317 -0.427286 0.017633 -0.000579 0.000007 -164.127446 0 1 0 0 0 0
3.014881 -1.092958 -0.397138 0.015407 -0.000541 0.000010 -167.874902 0 1 0 0 0 0
2.992144 -0.993598 -0.366543 0.013146 -0.000479 0.000010 -172.401235 0 1 0 0 0 0
2.964177 -0.894238 -0.336143 0.010942 -0.000364 0.000006 -176.140128 0 1 0 0 0 0
2.940678 -0.794878 -0.303588 0.008762 -0.000253 0.000003 -178.732701 0 1 0 0 0 0
2.921124 -0.695518 -0.269208 0.006640 -0.000155 0.000001 -180.423025 0 1 0 0 0 0
2.905236 -0.596159 -0.233280 0.004615 -0.000075 0.000000 -181.420086 0 1 0 0 0 0
2.892807 -0.496799 -0.196074 0.002750 -0.000020 -0.000000 -181.887876 0 1 0 0 0 0
2.883565 -0.397439 -0.157866 0.001176 0.000008 -0.000000 -181.944074 0 1 0 0 0 0
2.877130 -0.298079 -0.118930 0.000182 0.000010 -0.000000 -181.672797 0 1 0 0 0 0
2.873258 -0.198720 -0.079501 -0.000008 0.000003 -0.000000 -181.164545 0 1 0 0 0 0
2.871398 -0.099360 -0.039802 -0.000026 0.000000 0.000000 -180.725954 0 1 0 0 0 0
2.870873 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -180.579251 0 1 0 0 0 0
2.871454 0.099360 0.039800 -0.000001 -0.000000 -0.000000 -180.736191 0 1 0 0 0 0
2.873050 0.198720 0.079512 -0.000077 -0.000002 -0.000000 -181.193022 0 1 0 0 0 0
2.875681 0.298079 0.119050 -0.000311 -0.000006 -0.000000 -181.940031 0 1 0 0 0 0
2.879687 0.397439 0.158292 -0.000918 -0.000017 -0.000000 -182.929224 0 1 0 0 0 0
2.885369 0.496799 0.197086 -0.001287 -0.000037 -0.000000 -184.035428 0 1 0 0 0 0
2.892663 0.596159 0.235312 -0.000531 -0.000060 -0.000001 -184.963496 0 1 0 0 0 0
2.901794 0.695518 0.272806 0.000591 -0.000083 -0.000001 -185.606437 0 1 0 0 0 0
2.912584 0.794878 0.309473 0.001888 -0.000104 -0.000003 -185.902728 0 1 0 0 0 0
2.924829 0.894238 0.345248 0.003289 -0.000125 -0.000004 -185.790448 0 1 0 0 0 0
2.938354 0.993598 0.380085 0.004738 -0.000146 -0.000006 -185.219186 0 1 0 0 0 0
2.953023 1.092958 0.413951 0.006198 -0.000169 -0.000008 -184.147019 0 1 0 0 0 0
2.968735 1.192317 0.446815 0.007642 -0.000195 -0.000011 -182.538435 0 1 0 0 0 0
2.985422 1.291677 0.478653 0.009052 -0.000227 -0.000015 -180.362945 0 1 0 0 0 0
3.003037 1.391037 0.509443 0.010418 -0.000264 -0.000019 -177.594029 0 1 0 0 0 0
3.021553 1.490397 0.539163 0.011735 -0.000307 -0.000023 -174.208123 0 1 0 0 0 0
3.040954 1.589756 0.567792 0.013001 -0.000358 -0.000028 -170.183390 0 1 0 0 0 0
3.061240 1.689116 0.595311 0.014222 -0.000416 -0.000033 -165.498042 0 1 0 0 0 0
3.082424 1.788476 0.621694 0.015406 -0.000482 -0.000038 -160.128035 0 1 0 0 0 0
3.104543 1.887836 0.646916 0.016563 -0.000555 -0.000043 -154.044146 0 1 0 0 0 0
3.127653 1.987196 0.670938 0.017703 -0.000635 -0.000049 -147.208660 0 1 0 0 0 0
3.151837 2.086555 0.693715 0.018832 -0.000724 -0.000055 -139.571956 0 1 0 0 0 0
3.177205 2.185915 0.715190 0.019954 -0.000823 -0.000062 -131.069383 0 1 0 0 0 0
3.203905 2.285275 0.735289 0.021060 -0.000934 -0.000069 -121.618942 0 1 0 0 0 0
3.232143 2.384635 0.753910 0.022131 -0.001062 -0.000077 -111.120882 0 1 0 0 0 0
3.262197 2.483994 0.770919 0.023127 -0.001218 -0.000088 -99.452806 0 1 0 0 0 0
