r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.194165 -15.667920 -0.295084 0.655629 -0.084930 -0.001344 -1275.020855 0 1 0 0 0 0
5.173790 -14.462695 -0.274535 0.617595 -0.080519 -0.000251 -1274.872243 0 1 0 0 0 0
5.163146 -13.257471 -0.252695 0.670601 -0.092793 0.005304 -1274.921359 0 1 0 0 0 0
5.147639 -12.052246 -0.231109 0.629598 -0.087472 0.006829 -1275.074588 0 1 0 0 0 0
5.131945 -10.847022 -0.209272 0.548745 -0.080249 0.008102 -1274.851787 0 1 0 0 0 0
5.117940 -9.641797 -0.187039 0.486946 -0.073938 0.008537 -1274.366804 0 1 0 0 0 0
5.106719 -8.436572 -0.164379 0.452728 -0.069646 0.008455 -1273.213185 0 1 0 0 0 0
5.097755 -7.231348 -0.141393 0.330363 -0.046926 0.005412 -1271.706647 0 1 0 0 0 0
5.092024 -6.026123 -0.118093 0.226599 -0.011525 0.001680 -1270.840013 0 1 0 0 0 0
5.087568 -4.820898 -0.094640 0.219235 -0.003176 0.001519 -1270.340184 0 1 0 0 0 0
5.084891 -3.615674 -0.071054 0.278208 -0.005930 0.003192 -1269.671580 0 1 0 0 0 0
5.083879 -2.410449 -0.047388 0.343293 -0.004224 0.004979 -1268.980628 0 1 0 0 0 0
5.083413 -1.205225 -0.023699 0.374761 0.001466 0.005835 -1268.285335 0 1 0 0 0 0
5.082937 0.000002 0.000000 0.374192 0.010536 0.005454 -1267.948796 0 1 0 0 0 0
5.082102 1.205225 0.023711 0.326599 0.016969 0.003571 -1268.189023 0 1 0 0 0 0
5.082789 2.410449 0.047409 0.292903 0.020354 0.002410 -1268.614153 0 1 0 0 0 0
5.085906 3.615674 0.071026 0.256654 0.017509 0.000797 -1268.840494 0 1 0 0 0 0
5.091831 4.820898 0.094481 0.175807 0.004096 -0.001333 -1269.070104 0 1 0 0 0 0
5.098471 6.026123 0.117794 0.106678 -0.004597 -0.000791 -1269.728840 0 1 0 0 0 0
5.101910 7.231348 0.141162 0.078933 -0.004228 0.000883 -1270.637531 0 1 0 0 0 0
5.105212 8.436572 0.164476 0.040775 -0.005283 0.001729 -1271.889705 0 1 0 0 0 0
5.108810 9.641797 0.187708 0.324484 0.043693 0.008941 -1273.402281 0 1 0 0 0 0
5.114972 10.847022 0.210663 0.519561 0.090698 0.018864 -1275.332575 0 1 0 0 0 0
5.123751 12.052246 0.233269 0.674690 0.137345 0.028249 -1276.864142 0 1 0 0 0 0
5.134221 13.257471 0.255551 0.838393 0.187413 0.037758 -1278.043346 0 1 0 0 0 0
5.146785 14.462695 0.277423 0.982027 0.226271 0.045303 -1278.831233 0 1 0 0 0 0
5.160304 15.667920 0.298969 1.098788 0.241364 0.046474 -1279.151299 0 1 0 0 0 0
5.173996 16.873145 0.320265 1.214997 0.244114 0.042593 -1279.189761 0 1 0 0 0 0
5.189451 18.078369 0.341100 1.329019 0.255260 0.040729 -1278.953887 0 1 0 0 0 0
5.203813 19.283594 0.361834 1.345204 0.240503 0.027861 -1278.281877 0 1 0 0 0 0
5.218074 20.488819 0.382351 1.294293 0.200528 0.008986 -1277.872467 0 1 0 0 0 0
5.235414 21.694043 0.402165 1.450738 0.225427 0.002306 -1277.372692 0 1 0 0 0 0
5.252878 22.899268 0.421689 1.677125 0.262026 -0.006068 -1276.896940 0 1 0 0 0 0
5.272806 24.104492 0.440534 1.851688 0.287018 -0.013643 -1276.395315 0 1 0 0 0 0
5.293050 25.309717 0.459030 1.954827 0.293696 -0.022380 -1275.494661 0 1 0 0 0 0
5.311510 26.514942 0.477551 1.978274 0.275143 -0.033307 -1274.202196 0 1 0 0 0 0
5.328375 27.720166 0.496103 2.026915 0.270966 -0.043175 -1272.859688 0 1 0 0 0 0
5.344313 28.925391 0.514589 2.066138 0.267391 -0.052716 -1271.546754 0 1 0 0 0 0
5.359710 30.130616 0.532955 2.046033 0.254739 -0.060078 -1270.441637 0 1 0 0 0 0
