r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.205033 -15.667920 -0.293853 0.674063 -0.089862 0.000597 -1257.794007 0 1 0 0 0 0
5.187138 -14.462695 -0.273123 0.633789 -0.083442 0.002011 -1258.026833 0 1 0 0 0 0
5.172674 -13.257471 -0.251765 0.624367 -0.082483 0.004727 -1258.296553 0 1 0 0 0 0
5.158286 -12.052246 -0.230156 0.598814 -0.077452 0.006373 -1258.629688 0 1 0 0 0 0
5.142921 -10.847022 -0.208380 0.530472 -0.066515 0.006335 -1258.686674 0 1 0 0 0 0
5.129564 -9.641797 -0.186193 0.453309 -0.053742 0.005586 -1258.311923 0 1 0 0 0 0
5.118743 -8.436572 -0.163608 0.359558 -0.036527 0.003796 -1257.642023 0 1 0 0 0 0
5.110187 -7.231348 -0.140705 0.264303 -0.018940 0.001876 -1256.874071 0 1 0 0 0 0
5.103491 -6.026123 -0.117562 0.188612 -0.006663 0.000651 -1256.093163 0 1 0 0 0 0
5.098290 -4.820898 -0.094242 0.134027 -0.001132 0.000165 -1255.351697 0 1 0 0 0 0
5.094319 -3.615674 -0.070792 0.092326 -0.000195 0.000079 -1254.709961 0 1 0 0 0 0
5.091419 -2.410449 -0.047248 0.052068 -0.000228 0.000038 -1254.224439 0 1 0 0 0 0
5.089593 -1.205225 -0.023641 0.014304 -0.000039 0.000002 -1253.933743 0 1 0 0 0 0
5.088961 -0.000000 -0.000000 -0.000085 0.000000 0.000000 -1253.842216 0 1 0 0 0 0
5.089648 1.205225 0.023641 0.006594 -0.000014 -0.000002 -1253.925256 0 1 0 0 0 0
5.091730 2.410449 0.047242 0.007269 -0.000457 -0.000029 -1254.147707 0 1 0 0 0 0
5.095118 3.615674 0.070770 -0.007159 -0.001972 -0.000040 -1254.490466 0 1 0 0 0 0
5.099488 4.820898 0.094198 -0.022601 -0.004394 0.000050 -1254.964144 0 1 0 0 0 0
5.104427 6.026123 0.117519 -0.018590 -0.006689 0.000131 -1255.580732 0 1 0 0 0 0
5.109809 7.231348 0.140726 0.013340 -0.007750 0.000042 -1256.312443 0 1 0 0 0 0
5.115800 8.436572 0.163796 0.073782 -0.005175 0.000059 -1257.094431 0 1 0 0 0 0
5.122333 9.641797 0.186719 0.182473 0.008941 0.001543 -1257.882875 0 1 0 0 0 0
5.129406 10.847022 0.209480 0.352303 0.042601 0.006988 -1258.692238 0 1 0 0 0 0
5.137650 12.052246 0.232009 0.543399 0.089122 0.016339 -1259.531615 0 1 0 0 0 0
5.147625 13.257471 0.254221 0.722251 0.138303 0.027166 -1260.308622 0 1 0 0 0 0
5.159342 14.462695 0.276074 0.887051 0.183999 0.037014 -1260.873272 0 1 0 0 0 0
5.172350 15.667920 0.297578 1.043977 0.223809 0.044331 -1261.150754 0 1 0 0 0 0
5.186545 16.873145 0.318717 1.170031 0.249481 0.047323 -1261.129183 0 1 0 0 0 0
5.201106 18.078369 0.339573 1.212461 0.241863 0.041020 -1260.877116 0 1 0 0 0 0
5.216016 19.283594 0.360143 1.246022 0.227072 0.030993 -1260.524439 0 1 0 0 0 0
5.231837 20.488819 0.380342 1.302359 0.218299 0.020792 -1260.092734 0 1 0 0 0 0
5.248718 21.694043 0.400128 1.417931 0.227468 0.012430 -1259.536040 0 1 0 0 0 0
5.265991 22.899268 0.419591 1.569801 0.244436 0.002920 -1258.844548 0 1 0 0 0 0
5.283478 24.104492 0.438756 1.703465 0.253924 -0.009005 -1258.053336 0 1 0 0 0 0
5.301377 25.309717 0.457589 1.812744 0.256864 -0.021446 -1257.174234 0 1 0 0 0 0
5.319273 26.514942 0.476158 1.901252 0.257796 -0.033148 -1256.207177 0 1 0 0 0 0
5.336756 27.720166 0.494546 1.921113 0.247295 -0.042930 -1255.191940 0 1 0 0 0 0
5.354686 28.925391 0.512598 1.905911 0.228253 -0.051761 -1254.222063 0 1 0 0 0 0
5.373841 30.130616 0.530156 1.884448 0.204645 -0.060281 -1253.347135 0 1 0 0 0 0
