r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.184048 -1.291677 -0.420798 0.035037 -0.003258 0.000296 -174.665079 0 1 0 0 0 0
3.140084 -1.192317 -0.399382 0.030136 -0.002597 0.000220 -177.213226 0 1 0 0 0 0
3.098750 -1.092958 -0.375932 0.025448 -0.002001 0.000155 -179.323032 0 1 0 0 0 0
3.060684 -0.993598 -0.350310 0.021030 -0.001481 0.000103 -180.991690 0 1 0 0 0 0
3.026393 -0.894238 -0.322464 0.016908 -0.001044 0.000064 -182.230713 0 1 0 0 0 0
2.996295 -0.794878 -0.292422 0.013095 -0.000689 0.000036 -183.068669 0 1 0 0 0 0
2.970662 -0.695518 -0.260304 0.009596 -0.000414 0.000018 -183.548725 0 1 0 0 0 0
2.949588 -0.596159 -0.226317 0.006421 -0.000213 0.000007 -183.722641 0 1 0 0 0 0
2.933001 -0.496799 -0.190737 0.003615 -0.000081 0.000002 -183.642278 0 1 0 0 0 0
2.920696 -0.397439 -0.153878 0.001331 -0.000011 -0.000000 -183.350141 0 1 0 0 0 0
2.912368 -0.298079 -0.116069 -0.000010 0.000007 -0.000000 -182.879163 0 1 0 0 0 0
2.907873 -0.198720 -0.077619 -0.000135 0.000002 -0.000000 -182.281225 0 1 0 0 0 0
2.905972 -0.099360 -0.038860 -0.000051 0.000000 -0.000000 -181.825643 0 1 0 0 0 0
2.905402 -0.000000 -0.000000 0.000000 0.000000 0.000000 -181.670764 0 1 0 0 0 0
2.905903 0.099360 0.038862 -0.000083 -0.000000 0.000000 -181.825190 0 1 0 0 0 0
2.907399 0.198720 0.077644 -0.000378 -0.000003 0.000000 -182.285828 0 1 0 0 0 0
2.909949 0.298079 0.116263 -0.000983 -0.000011 0.000000 -183.045982 0 1 0 0 0 0
2.913964 0.397439 0.154590 -0.002101 -0.000029 0.000001 -184.078399 0 1 0 0 0 0
2.920066 0.496799 0.192431 -0.003036 -0.000065 0.000002 -185.280083 0 1 0 0 0 0
2.928462 0.596159 0.229594 -0.002249 -0.000106 0.000001 -186.400294 0 1 0 0 0 0
2.939386 0.695518 0.265873 -0.000652 -0.000130 -0.000002 -187.355540 0 1 0 0 0 0
2.952657 0.794878 0.301129 0.001425 -0.000125 -0.000005 -188.129484 0 1 0 0 0 0
2.968054 0.894238 0.335265 0.003900 -0.000083 -0.000007 -188.705218 0 1 0 0 0 0
2.985342 0.993598 0.368215 0.006714 0.000000 -0.000008 -189.078315 0 1 0 0 0 0
3.004285 1.092958 0.399944 0.009823 0.000126 -0.000007 -189.252608 0 1 0 0 0 0
3.024662 1.192317 0.430444 0.013191 0.000296 -0.000004 -189.237057 0 1 0 0 0 0
3.046266 1.291677 0.459724 0.016787 0.000505 0.000002 -189.043677 0 1 0 0 0 0
3.068917 1.391037 0.487806 0.020577 0.000752 0.000010 -188.686147 0 1 0 0 0 0
3.092452 1.490397 0.514724 0.024529 0.001030 0.000021 -188.178886 0 1 0 0 0 0
3.116732 1.589756 0.540518 0.028606 0.001333 0.000033 -187.536486 0 1 0 0 0 0
3.141634 1.689116 0.565232 0.032770 0.001652 0.000045 -186.773411 0 1 0 0 0 0
3.167052 1.788476 0.588913 0.036982 0.001980 0.000057 -185.903911 0 1 0 0 0 0
3.192884 1.887836 0.611613 0.041201 0.002307 0.000068 -184.942094 0 1 0 0 0 0
3.219033 1.987196 0.633386 0.045388 0.002625 0.000076 -183.902121 0 1 0 0 0 0
3.245398 2.086555 0.654294 0.049513 0.002926 0.000080 -182.798439 0 1 0 0 0 0
3.271868 2.185915 0.674405 0.053554 0.003206 0.000081 -181.645958 0 1 0 0 0 0
3.298327 2.285275 0.693793 0.057513 0.003466 0.000079 -180.460010 0 1 0 0 0 0
3.324663 2.384635 0.712534 0.061412 0.003711 0.000074 -179.255958 0 1 0 0 0 0
3.350781 2.483994 0.730697 0.065294 0.003948 0.000067 -178.048402 0 1 0 0 0 0
