r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.046487 -1.291677 -0.459657 0.019311 -0.000525 -0.000001 -164.908214 0 1 0 0 0 0
3.018859 -1.192317 -0.432101 0.016859 -0.000465 0.000001 -166.903453 0 1 0 0 0 0
3.002934 -1.092958 -0.400304 0.014980 -0.000472 0.000006 -169.575597 0 1 0 0 0 0
2.988581 -0.993598 -0.367417 0.012824 -0.000442 0.000008 -173.234209 0 1 0 0 0 0
2.963879 -0.894238 -0.336210 0.010627 -0.000349 0.000006 -177.069107 0 1 0 0 0 0
2.939510 -0.794878 -0.303829 0.008480 -0.000242 0.000003 -179.806461 0 1 0 0 0 0
2.919053 -0.695518 -0.269590 0.006422 -0.000148 0.000001 -181.656990 0 1 0 0 0 0
2.902260 -0.596159 -0.233759 0.004488 -0.000073 0.000000 -182.816765 0 1 0 0 0 0
2.888941 -0.496799 -0.196599 0.002737 -0.000021 -0.000000 -183.437411 0 1 0 0 0 0
2.878844 -0.397439 -0.158385 0.001282 0.000005 -0.000000 -183.627686 0 1 0 0 0 0
2.871656 -0.298079 -0.119384 0.000356 0.000008 -0.000000 -183.469368 0 1 0 0 0 0
2.867189 -0.198720 -0.079837 0.000090 0.000002 -0.000000 -183.048709 0 1 0 0 0 0
2.864922 -0.099360 -0.039982 0.000001 0.000000 0.000000 -182.669949 0 1 0 0 0 0
2.864262 0.000000 0.000000 -0.000002 -0.000000 -0.000000 -182.542577 0 1 0 0 0 0
2.864963 0.099360 0.039981 0.000023 -0.000000 -0.000000 -182.681243 0 1 0 0 0 0
2.866903 0.198720 0.079853 0.000024 -0.000001 -0.000000 -183.084568 0 1 0 0 0 0
2.870067 0.298079 0.119516 -0.000073 -0.000005 -0.000000 -183.743867 0 1 0 0 0 0
2.874753 0.397439 0.158836 -0.000491 -0.000016 -0.000000 -184.609007 0 1 0 0 0 0
2.881265 0.496799 0.197648 -0.000840 -0.000036 -0.000000 -185.575570 0 1 0 0 0 0
2.889314 0.596159 0.235858 -0.000194 -0.000059 -0.000001 -186.396087 0 1 0 0 0 0
2.899115 0.695518 0.273311 0.000876 -0.000081 -0.000002 -186.922412 0 1 0 0 0 0
2.910531 0.794878 0.309910 0.002104 -0.000104 -0.000003 -187.111205 0 1 0 0 0 0
2.923350 0.894238 0.345597 0.003428 -0.000126 -0.000004 -186.908024 0 1 0 0 0 0
2.937391 0.993598 0.380335 0.004800 -0.000150 -0.000006 -186.268871 0 1 0 0 0 0
2.952509 1.092958 0.414095 0.006185 -0.000176 -0.000009 -185.157656 0 1 0 0 0 0
2.968591 1.192317 0.446858 0.007558 -0.000206 -0.000012 -183.544174 0 1 0 0 0 0
2.985551 1.291677 0.478612 0.008905 -0.000240 -0.000015 -181.402736 0 1 0 0 0 0
3.003327 1.391037 0.509345 0.010215 -0.000280 -0.000019 -178.711002 0 1 0 0 0 0
3.021877 1.490397 0.539047 0.011487 -0.000326 -0.000024 -175.448657 0 1 0 0 0 0
3.041183 1.589756 0.567707 0.012725 -0.000379 -0.000028 -171.595657 0 1 0 0 0 0
3.061252 1.689116 0.595306 0.013936 -0.000438 -0.000033 -167.129937 0 1 0 0 0 0
3.082123 1.788476 0.621816 0.015131 -0.000503 -0.000039 -162.024698 0 1 0 0 0 0
3.103865 1.887836 0.647198 0.016321 -0.000576 -0.000044 -156.245526 0 1 0 0 0 0
3.126574 1.987196 0.671401 0.017511 -0.000655 -0.000050 -149.747615 0 1 0 0 0 0
3.150359 2.086555 0.694366 0.018707 -0.000741 -0.000057 -142.473216 0 1 0 0 0 0
3.175340 2.185915 0.716031 0.019906 -0.000836 -0.000063 -134.349311 0 1 0 0 0 0
3.201642 2.285275 0.736329 0.021100 -0.000942 -0.000071 -125.285554 0 1 0 0 0 0
3.229407 2.384635 0.755188 0.022271 -0.001064 -0.000079 -115.172946 0 1 0 0 0 0
3.258799 2.483994 0.772528 0.023396 -0.001206 -0.000089 -103.884375 0 1 0 0 0 0
