r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.066678 -1.291677 -0.453624 0.020081 -0.000647 0.000006 -160.099937 0 1 0 0 0 0
3.042369 -1.192317 -0.425448 0.017835 -0.000613 0.000009 -163.348524 0 1 0 0 0 0
3.019408 -1.092958 -0.395948 0.015515 -0.000564 0.000011 -167.441643 0 1 0 0 0 0
2.993953 -0.993598 -0.366100 0.013224 -0.000485 0.000010 -172.055373 0 1 0 0 0 0
2.966470 -0.894238 -0.335623 0.011014 -0.000369 0.000006 -175.639996 0 1 0 0 0 0
2.943346 -0.794878 -0.303038 0.008839 -0.000258 0.000003 -178.103011 0 1 0 0 0 0
2.924082 -0.695518 -0.268663 0.006726 -0.000159 0.000001 -179.683570 0 1 0 0 0 0
2.908415 -0.596159 -0.232770 0.004708 -0.000080 0.000000 -180.587048 0 1 0 0 0 0
2.896169 -0.496799 -0.195619 0.002843 -0.000024 -0.000000 -180.976853 0 1 0 0 0 0
2.887106 -0.397439 -0.157479 0.001259 0.000005 -0.000000 -180.973819 0 1 0 0 0 0
2.880862 -0.298079 -0.118622 0.000237 0.000009 -0.000000 -180.667506 0 1 0 0 0 0
2.877113 -0.198720 -0.079288 0.000003 0.000003 -0.000000 -180.149018 0 1 0 0 0 0
2.875265 -0.099360 -0.039695 -0.000025 0.000000 0.000000 -179.720747 0 1 0 0 0 0
2.874740 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -179.578134 0 1 0 0 0 0
2.875324 0.099360 0.039693 -0.000001 -0.000000 -0.000000 -179.731694 0 1 0 0 0 0
2.876939 0.198720 0.079297 -0.000077 -0.000002 -0.000000 -180.177293 0 1 0 0 0 0
2.879608 0.298079 0.118725 -0.000303 -0.000006 -0.000000 -180.905558 0 1 0 0 0 0
2.883638 0.397439 0.157858 -0.000872 -0.000017 -0.000000 -181.874913 0 1 0 0 0 0
2.889362 0.496799 0.196542 -0.001284 -0.000037 -0.000000 -182.969570 0 1 0 0 0 0
2.896662 0.596159 0.234663 -0.000556 -0.000061 -0.000001 -183.905004 0 1 0 0 0 0
2.905758 0.695518 0.272062 0.000583 -0.000083 -0.000001 -184.557582 0 1 0 0 0 0
2.916479 0.794878 0.308647 0.001902 -0.000104 -0.000003 -184.869010 0 1 0 0 0 0
2.928616 0.894238 0.344355 0.003323 -0.000124 -0.000004 -184.777505 0 1 0 0 0 0
2.941999 0.993598 0.379144 0.004792 -0.000145 -0.000006 -184.232549 0 1 0 0 0 0
2.956497 1.092958 0.412978 0.006270 -0.000167 -0.000008 -183.191745 0 1 0 0 0 0
2.972017 1.192317 0.445829 0.007733 -0.000193 -0.000011 -181.618672 0 1 0 0 0 0
2.988497 1.291677 0.477669 0.009164 -0.000223 -0.000015 -179.481455 0 1 0 0 0 0
3.005903 1.391037 0.508472 0.010551 -0.000259 -0.000019 -176.751703 0 1 0 0 0 0
3.024216 1.490397 0.538214 0.011889 -0.000302 -0.000023 -173.403561 0 1 0 0 0 0
3.043433 1.589756 0.566868 0.013177 -0.000352 -0.000028 -169.412678 0 1 0 0 0 0
3.063560 1.689116 0.594409 0.014418 -0.000409 -0.000033 -164.754864 0 1 0 0 0 0
3.084615 1.788476 0.620812 0.015617 -0.000474 -0.000038 -159.404212 0 1 0 0 0 0
3.106627 1.887836 0.646048 0.016783 -0.000546 -0.000044 -153.330572 0 1 0 0 0 0
3.129645 1.987196 0.670084 0.017925 -0.000626 -0.000049 -146.496417 0 1 0 0 0 0
3.153738 2.086555 0.692879 0.019051 -0.000715 -0.000056 -138.853330 0 1 0 0 0 0
3.178999 2.185915 0.714383 0.020164 -0.000813 -0.000062 -130.338479 0 1 0 0 0 0
3.205561 2.285275 0.734529 0.021261 -0.000923 -0.000069 -120.871682 0 1 0 0 0 0
3.233657 2.384635 0.753204 0.022314 -0.001053 -0.000078 -110.347972 0 1 0 0 0 0
3.264027 2.483994 0.770055 0.023021 -0.001347 -0.000097 -98.639623 0 1 0 0 0 0
