r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.183971 -1.291677 -0.420818 0.035036 -0.003258 0.000296 -174.683968 0 1 0 0 0 0
3.139995 -1.192317 -0.399404 0.030135 -0.002597 0.000220 -177.231243 0 1 0 0 0 0
3.098662 -1.092958 -0.375953 0.025448 -0.002000 0.000155 -179.340110 0 1 0 0 0 0
3.060599 -0.993598 -0.350329 0.021031 -0.001481 0.000103 -181.007588 0 1 0 0 0 0
3.026312 -0.894238 -0.322481 0.016910 -0.001044 0.000064 -182.245191 0 1 0 0 0 0
2.996220 -0.794878 -0.292437 0.013097 -0.000689 0.000036 -183.081535 0 1 0 0 0 0
2.970594 -0.695518 -0.260316 0.009598 -0.000414 0.000018 -183.559873 0 1 0 0 0 0
2.949528 -0.596159 -0.226327 0.006422 -0.000213 0.000007 -183.732081 0 1 0 0 0 0
2.932950 -0.496799 -0.190744 0.003615 -0.000081 0.000002 -183.650139 0 1 0 0 0 0
2.920654 -0.397439 -0.153882 0.001330 -0.000011 -0.000000 -183.356660 0 1 0 0 0 0
2.912334 -0.298079 -0.116072 -0.000012 0.000007 -0.000000 -182.884614 0 1 0 0 0 0
2.907843 -0.198720 -0.077621 -0.000136 0.000002 -0.000000 -182.285882 0 1 0 0 0 0
2.905946 -0.099360 -0.038861 -0.000052 0.000000 -0.000000 -181.829802 0 1 0 0 0 0
2.905377 0.000000 0.000000 0.000000 0.000000 0.000000 -181.674763 0 1 0 0 0 0
2.905877 0.099360 0.038863 -0.000083 -0.000000 0.000000 -181.829339 0 1 0 0 0 0
2.907370 0.198720 0.077646 -0.000380 -0.000003 0.000000 -182.290425 0 1 0 0 0 0
2.909916 0.298079 0.116265 -0.000988 -0.000011 0.000000 -183.051321 0 1 0 0 0 0
2.913926 0.397439 0.154594 -0.002108 -0.000029 0.000001 -184.084824 0 1 0 0 0 0
2.920022 0.496799 0.192436 -0.003043 -0.000065 0.000002 -185.287717 0 1 0 0 0 0
2.928412 0.596159 0.229602 -0.002254 -0.000107 0.000001 -186.408888 0 1 0 0 0 0
2.939330 0.695518 0.265883 -0.000657 -0.000130 -0.000002 -187.365208 0 1 0 0 0 0
2.952596 0.794878 0.301142 0.001421 -0.000125 -0.000005 -188.140215 0 1 0 0 0 0
2.967989 0.894238 0.335280 0.003897 -0.000083 -0.000007 -188.716971 0 1 0 0 0 0
2.985273 0.993598 0.368232 0.006712 -0.000000 -0.000008 -189.091028 0 1 0 0 0 0
3.004213 1.092958 0.399964 0.009821 0.000126 -0.000007 -189.266204 0 1 0 0 0 0
3.024588 1.192317 0.430465 0.013191 0.000296 -0.000004 -189.251451 0 1 0 0 0 0
3.046191 1.291677 0.459746 0.016787 0.000505 0.000002 -189.058780 0 1 0 0 0 0
3.068840 1.391037 0.487830 0.020578 0.000752 0.000010 -188.701869 0 1 0 0 0 0
3.092375 1.490397 0.514750 0.024531 0.001030 0.000021 -188.195140 0 1 0 0 0 0
3.116655 1.589756 0.540545 0.028609 0.001333 0.000033 -187.553188 0 1 0 0 0 0
3.141558 1.689116 0.565260 0.032775 0.001653 0.000045 -186.790475 0 1 0 0 0 0
3.166976 1.788476 0.588942 0.036988 0.001981 0.000057 -185.921248 0 1 0 0 0 0
3.192810 1.887836 0.611641 0.041208 0.002308 0.000068 -184.959612 0 1 0 0 0 0
3.218961 1.987196 0.633414 0.045398 0.002626 0.000076 -183.919716 0 1 0 0 0 0
3.245330 2.086555 0.654321 0.049524 0.002928 0.000081 -182.815991 0 1 0 0 0 0
3.271805 2.185915 0.674430 0.053568 0.003209 0.000082 -181.663326 0 1 0 0 0 0
3.298272 2.285275 0.693816 0.057529 0.003469 0.000079 -180.477037 0 1 0 0 0 0
3.324616 2.384635 0.712554 0.061428 0.003713 0.000074 -179.272477 0 1 0 0 0 0
3.350745 2.483994 0.730712 0.065310 0.003950 0.000067 -178.064248 0 1 0 0 0 0
