r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.083047 -1.291677 -0.448820 0.019757 -0.000619 0.000005 -175.426514 0 1 0 0 0 0
3.060880 -1.192317 -0.420318 0.017566 -0.000590 0.000008 -178.769864 0 1 0 0 0 0
3.039391 -1.092958 -0.390759 0.015333 -0.000548 0.000010 -182.901728 0 1 0 0 0 0
3.014442 -0.993598 -0.361140 0.013164 -0.000477 0.000009 -187.482943 0 1 0 0 0 0
2.987809 -0.894238 -0.330846 0.011056 -0.000367 0.000006 -191.015776 0 1 0 0 0 0
2.965844 -0.794878 -0.298458 0.008930 -0.000257 0.000003 -193.433675 0 1 0 0 0 0
2.947897 -0.695518 -0.264340 0.006815 -0.000158 0.000001 -194.970828 0 1 0 0 0 0
2.933622 -0.596159 -0.228788 0.004754 -0.000078 0.000000 -195.837832 0 1 0 0 0 0
2.922776 -0.496799 -0.192074 0.002821 -0.000022 -0.000000 -196.204685 0 1 0 0 0 0
2.915048 -0.397439 -0.154475 0.001163 0.000007 -0.000000 -196.195435 0 1 0 0 0 0
2.909982 -0.298079 -0.116260 0.000118 0.000009 -0.000000 -195.896889 0 1 0 0 0 0
2.907203 -0.198720 -0.077655 -0.000057 0.000003 0.000000 -195.396708 0 1 0 0 0 0
2.906009 -0.099360 -0.038859 -0.000041 0.000000 0.000000 -194.989592 0 1 0 0 0 0
2.905722 0.000000 0.000000 -0.000002 -0.000000 -0.000000 -194.855248 0 1 0 0 0 0
2.906120 0.099360 0.038856 -0.000009 -0.000000 -0.000000 -195.002665 0 1 0 0 0 0
2.907137 0.198720 0.077658 -0.000112 -0.000002 -0.000000 -195.427897 0 1 0 0 0 0
2.908816 0.298079 0.116353 -0.000380 -0.000006 -0.000000 -196.122693 0 1 0 0 0 0
2.911493 0.397439 0.154852 -0.000993 -0.000016 -0.000000 -197.051442 0 1 0 0 0 0
2.915675 0.496799 0.193011 -0.001490 -0.000035 -0.000000 -198.105852 0 1 0 0 0 0
2.921577 0.596159 0.230678 -0.000835 -0.000059 -0.000001 -199.014831 0 1 0 0 0 0
2.929465 0.695518 0.267677 0.000282 -0.000082 -0.000001 -199.646689 0 1 0 0 0 0
2.939137 0.794878 0.303906 0.001601 -0.000104 -0.000002 -199.940286 0 1 0 0 0 0
2.950340 0.894238 0.339303 0.003035 -0.000125 -0.000004 -199.831924 0 1 0 0 0 0
2.962856 0.993598 0.373825 0.004523 -0.000146 -0.000006 -199.271323 0 1 0 0 0 0
2.976516 1.092958 0.407442 0.006023 -0.000168 -0.000008 -198.217983 0 1 0 0 0 0
2.991189 1.192317 0.440132 0.007507 -0.000192 -0.000011 -196.638570 0 1 0 0 0 0
3.006787 1.291677 0.471875 0.008957 -0.000220 -0.000014 -194.505148 0 1 0 0 0 0
3.023245 1.391037 0.502656 0.010362 -0.000254 -0.000018 -191.793806 0 1 0 0 0 0
3.040523 1.490397 0.532456 0.011717 -0.000293 -0.000022 -188.483419 0 1 0 0 0 0
3.058597 1.589756 0.561261 0.013023 -0.000338 -0.000026 -184.554297 0 1 0 0 0 0
3.077459 1.689116 0.589052 0.014282 -0.000391 -0.000031 -179.986546 0 1 0 0 0 0
3.097123 1.788476 0.615807 0.015505 -0.000451 -0.000036 -174.757978 0 1 0 0 0 0
3.117624 1.887836 0.641498 0.016699 -0.000519 -0.000042 -168.841557 0 1 0 0 0 0
3.139029 1.987196 0.666083 0.017874 -0.000594 -0.000047 -162.202506 0 1 0 0 0 0
3.161437 2.086555 0.689508 0.019038 -0.000679 -0.000053 -154.795277 0 1 0 0 0 0
3.184982 2.185915 0.711702 0.020192 -0.000774 -0.000060 -146.560723 0 1 0 0 0 0
3.209845 2.285275 0.732570 0.021332 -0.000882 -0.000067 -137.423956 0 1 0 0 0 0
3.236270 2.384635 0.751988 0.022437 -0.001008 -0.000076 -127.293580 0 1 0 0 0 0
3.264624 2.483994 0.769774 0.023448 -0.001179 -0.000087 -116.035619 0 1 0 0 0 0
