r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.056482 -1.291677 -0.456656 0.020328 -0.000671 0.000007 -147.371867 0 1 0 0 0 0
3.030032 -1.192317 -0.428920 0.018035 -0.000631 0.000010 -150.603371 0 1 0 0 0 0
3.005476 -1.092958 -0.399628 0.015647 -0.000574 0.000011 -154.708300 0 1 0 0 0 0
2.979457 -0.993598 -0.369671 0.013262 -0.000489 0.000010 -159.373906 0 1 0 0 0 0
2.951708 -0.894238 -0.338989 0.010967 -0.000369 0.000006 -163.019220 0 1 0 0 0 0
2.928144 -0.794878 -0.306192 0.008749 -0.000256 0.000003 -165.532352 0 1 0 0 0 0
2.908346 -0.695518 -0.271578 0.006632 -0.000158 0.000001 -167.157625 0 1 0 0 0 0
2.892085 -0.596159 -0.235407 0.004642 -0.000079 0.000000 -168.098364 0 1 0 0 0 0
2.879197 -0.496799 -0.197932 0.002829 -0.000024 -0.000000 -168.514297 0 1 0 0 0 0
2.869468 -0.397439 -0.159421 0.001304 0.000004 -0.000000 -168.524346 0 1 0 0 0 0
2.862577 -0.298079 -0.120142 0.000313 0.000008 -0.000000 -168.220403 0 1 0 0 0 0
2.858224 -0.198720 -0.080339 0.000045 0.000003 -0.000000 -167.696668 0 1 0 0 0 0
2.855922 -0.099360 -0.040234 -0.000014 0.000000 0.000000 -167.260966 0 1 0 0 0 0
2.855227 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -167.115260 0 1 0 0 0 0
2.855951 0.099360 0.040233 0.000006 -0.000000 -0.000000 -167.270815 0 1 0 0 0 0
2.858006 0.198720 0.080351 -0.000045 -0.000002 -0.000000 -167.723433 0 1 0 0 0 0
2.861391 0.298079 0.120242 -0.000230 -0.000006 -0.000000 -168.463198 0 1 0 0 0 0
2.866358 0.397439 0.159768 -0.000750 -0.000018 -0.000000 -169.445211 0 1 0 0 0 0
2.873101 0.496799 0.198773 -0.001112 -0.000039 -0.000000 -170.552528 0 1 0 0 0 0
2.881251 0.596159 0.237180 -0.000353 -0.000062 -0.000001 -171.496794 0 1 0 0 0 0
2.891048 0.695518 0.274838 0.000796 -0.000083 -0.000002 -172.154578 0 1 0 0 0 0
2.902363 0.794878 0.311656 0.002110 -0.000103 -0.000003 -172.470533 0 1 0 0 0 0
2.915024 0.894238 0.347574 0.003520 -0.000123 -0.000004 -172.383545 0 1 0 0 0 0
2.928893 0.993598 0.382545 0.004973 -0.000144 -0.000006 -171.841952 0 1 0 0 0 0
2.943867 1.092958 0.416529 0.006436 -0.000167 -0.000009 -170.800801 0 1 0 0 0 0
2.959879 1.192317 0.449493 0.007884 -0.000194 -0.000012 -169.220000 0 1 0 0 0 0
2.976889 1.291677 0.481401 0.009301 -0.000226 -0.000016 -167.063138 0 1 0 0 0 0
2.994885 1.391037 0.512221 0.010676 -0.000265 -0.000020 -164.296626 0 1 0 0 0 0
3.013868 1.490397 0.541916 0.012003 -0.000312 -0.000024 -160.889011 0 1 0 0 0 0
3.033856 1.589756 0.570452 0.013278 -0.000365 -0.000029 -156.810262 0 1 0 0 0 0
3.054872 1.689116 0.597795 0.014501 -0.000427 -0.000034 -152.030800 0 1 0 0 0 0
3.076945 1.788476 0.623911 0.015678 -0.000497 -0.000040 -146.519976 0 1 0 0 0 0
3.100106 1.887836 0.648768 0.016813 -0.000574 -0.000046 -140.243700 0 1 0 0 0 0
3.124392 1.987196 0.672339 0.017916 -0.000660 -0.000051 -133.161131 0 1 0 0 0 0
3.149843 2.086555 0.694594 0.018994 -0.000753 -0.000058 -125.220529 0 1 0 0 0 0
3.176508 2.185915 0.715504 0.020055 -0.000855 -0.000064 -116.354679 0 1 0 0 0 0
3.204470 2.285275 0.735029 0.021095 -0.000969 -0.000071 -106.476257 0 1 0 0 0 0
3.234323 2.384635 0.752894 0.021937 -0.001156 -0.000083 -95.430515 0 1 0 0 0 0
3.266816 2.483994 0.768741 0.022209 -0.001575 -0.000110 -83.510482 0 1 0 0 0 0
