r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.998888 -1.291677 -0.474364 0.037258 -0.002158 0.000075 -537.781353 0 1 0 0 0 0
2.645480 -1.192317 -0.562680 0.025560 -0.001904 0.000095 -694.527641 0 1 0 0 0 0
3.021717 -1.092958 -0.395343 0.037870 -0.002054 0.000076 -567.651871 0 1 0 0 0 0
2.554077 -0.993598 -0.503062 0.012421 -0.000642 0.000042 -756.820990 0 1 0 0 0 0
2.404406 -0.894238 -0.510877 0.014599 -0.001202 0.000077 -737.191709 0 1 0 0 0 0
2.868602 -0.794878 -0.319035 0.030662 -0.001392 0.000063 -588.638515 0 1 0 0 0 0
2.800388 -0.695518 -0.292921 0.028035 -0.001190 0.000058 -590.484510 0 1 0 0 0 0
2.722165 -0.596159 -0.265712 0.025223 -0.001002 0.000054 -592.366738 0 1 0 0 0 0
2.381376 -0.496799 -0.289337 -0.001149 0.000003 0.000017 -751.735857 0 1 0 0 0 0
2.523200 -0.397439 -0.206180 0.018543 -0.000670 0.000041 -602.806222 0 1 0 0 0 0
2.407750 -0.298079 -0.169820 0.014938 -0.000518 0.000034 -614.788402 0 1 0 0 0 0
2.310672 -0.198720 -0.122926 0.012062 -0.000374 0.000028 -631.222040 0 1 0 0 0 0
2.293671 -0.099360 -0.062377 -0.007681 0.000612 -0.000050 -532.432275 0 1 0 0 0 0
2.221614 0.000000 0.000000 -0.006952 0.000306 -0.000031 -589.496667 0 1 0 0 0 0
2.168380 0.099360 0.069794 -0.006357 0.000049 -0.000011 -646.848733 0 1 0 0 0 0
2.154401 0.198720 0.141405 -0.006251 -0.000076 0.000002 -695.212667 0 1 0 0 0 0
2.176655 0.298079 0.207793 -0.006481 -0.000134 0.000006 -728.729156 0 1 0 0 0 0
2.364602 0.397439 0.234765 0.022635 0.001065 0.000098 -662.042900 0 1 0 0 0 0
2.256985 0.496799 0.322108 -0.007215 -0.000327 0.000000 -766.712163 0 1 0 0 0 0
2.302288 0.596159 0.371468 -0.007618 -0.000474 -0.000006 -777.672831 0 1 0 0 0 0
2.348827 0.695518 0.416376 -0.007989 -0.000651 -0.000015 -784.854098 0 1 0 0 0 0
2.268973 0.794878 0.509942 0.006688 -0.000438 -0.000031 -607.390122 0 1 0 0 0 0
2.328754 0.894238 0.544609 0.009051 -0.000457 -0.000034 -598.799119 0 1 0 0 0 0
2.395237 0.993598 0.571995 0.012026 -0.000322 -0.000023 -591.202874 0 1 0 0 0 0
2.468904 1.092958 0.592207 0.015553 -0.000003 0.000002 -587.269772 0 1 0 0 0 0
2.534168 1.192317 0.613196 -0.005568 -0.001723 -0.000057 -589.188920 0 1 0 0 0 0
2.633608 1.291677 0.615078 -0.008162 -0.002147 -0.000119 -767.374803 0 1 0 0 0 0
2.681187 1.391037 0.639092 -0.007816 -0.002438 -0.000142 -758.045689 0 1 0 0 0 0
2.728784 1.490397 0.661062 -0.007372 -0.002730 -0.000165 -748.044934 0 1 0 0 0 0
2.776386 1.589756 0.681161 -0.006828 -0.003017 -0.000187 -737.717195 0 1 0 0 0 0
2.823967 1.689116 0.699550 -0.006179 -0.003296 -0.000209 -727.342672 0 1 0 0 0 0
2.871493 1.788476 0.716385 -0.005420 -0.003562 -0.000230 -717.135726 0 1 0 0 0 0
2.918908 1.887836 0.731816 -0.004545 -0.003815 -0.000250 -707.240557 0 1 0 0 0 0
2.966129 1.987196 0.746001 -0.003547 -0.004053 -0.000269 -697.724393 0 1 0 0 0 0
3.013046 2.086555 0.759097 -0.002418 -0.004276 -0.000287 -688.571413 0 1 0 0 0 0
3.059518 2.185915 0.771269 -0.001146 -0.004484 -0.000305 -679.680574 0 1 0 0 0 0
3.105393 2.285275 0.782680 0.000283 -0.004676 -0.000322 -670.868016 0 1 0 0 0 0
3.150522 2.384635 0.793479 0.001889 -0.004851 -0.000339 -661.872002 0 1 0 0 0 0
3.194780 2.483994 0.803799 0.003693 -0.005007 -0.000356 -652.356759 0 1 0 0 0 0
