r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.194144 -15.667920 -0.295086 0.693171 -0.098312 0.002384 -1269.853010 0 1 0 0 0 0
5.176410 -14.462695 -0.274257 0.661731 -0.093283 0.003938 -1269.952310 0 1 0 0 0 0
5.162431 -13.257471 -0.252765 0.659648 -0.092556 0.006772 -1270.138033 0 1 0 0 0 0
5.147949 -12.052246 -0.231081 0.632840 -0.086311 0.008214 -1270.424888 0 1 0 0 0 0
5.132487 -10.847022 -0.209228 0.568174 -0.076341 0.008323 -1270.380365 0 1 0 0 0 0
5.119350 -9.641797 -0.186936 0.500248 -0.065181 0.007802 -1269.858309 0 1 0 0 0 0
5.108742 -8.436572 -0.164249 0.404393 -0.047104 0.005683 -1269.000237 0 1 0 0 0 0
5.100398 -7.231348 -0.141246 0.286344 -0.024196 0.002771 -1268.080834 0 1 0 0 0 0
5.093878 -6.026123 -0.118007 0.194965 -0.007407 0.000878 -1267.200505 0 1 0 0 0 0
5.088695 -4.820898 -0.094598 0.140510 -0.000151 0.000198 -1266.371851 0 1 0 0 0 0
5.084830 -3.615674 -0.071056 0.115514 0.000156 0.000233 -1265.629336 0 1 0 0 0 0
5.082256 -2.410449 -0.047419 0.092850 -0.000775 0.000265 -1265.031648 0 1 0 0 0 0
5.080581 -1.205225 -0.023725 0.042158 -0.000311 0.000062 -1264.657630 0 1 0 0 0 0
5.079982 0.000000 0.000000 -0.000227 -0.000000 0.000000 -1264.537679 0 1 0 0 0 0
5.080643 1.205225 0.023724 0.022577 0.000178 0.000009 -1264.645155 0 1 0 0 0 0
5.082728 2.410449 0.047410 0.030706 -0.000174 -0.000054 -1264.934421 0 1 0 0 0 0
5.086229 3.615674 0.071017 0.006513 -0.002547 -0.000146 -1265.383241 0 1 0 0 0 0
5.090703 4.820898 0.094523 -0.017667 -0.006567 -0.000098 -1266.005104 0 1 0 0 0 0
5.095523 6.026123 0.117930 -0.013272 -0.011081 -0.000190 -1266.797120 0 1 0 0 0 0
5.100694 7.231348 0.141230 0.009292 -0.016237 -0.000575 -1267.699725 0 1 0 0 0 0
5.106566 8.436572 0.164389 0.042086 -0.019590 -0.000941 -1268.622059 0 1 0 0 0 0
5.112820 9.641797 0.187414 0.132729 -0.008916 -0.000159 -1269.506671 0 1 0 0 0 0
5.119057 10.847022 0.210327 0.331525 0.033137 0.005929 -1270.397991 0 1 0 0 0 0
5.126789 12.052246 0.232993 0.544032 0.088740 0.016904 -1271.343704 0 1 0 0 0 0
5.136918 13.257471 0.255282 0.727169 0.143023 0.029097 -1272.199572 0 1 0 0 0 0
5.148930 14.462695 0.277192 0.898807 0.191257 0.039359 -1272.789626 0 1 0 0 0 0
5.162068 15.667920 0.298765 1.067441 0.234156 0.046891 -1273.087233 0 1 0 0 0 0
5.176530 16.873145 0.319951 1.213188 0.265802 0.051221 -1273.090212 0 1 0 0 0 0
5.190987 18.078369 0.340898 1.233536 0.250468 0.043760 -1272.825880 0 1 0 0 0 0
5.205586 19.283594 0.361588 1.250328 0.229470 0.032305 -1272.484228 0 1 0 0 0 0
5.221265 20.488819 0.381883 1.300441 0.218202 0.021206 -1272.088698 0 1 0 0 0 0
5.238304 21.694043 0.401721 1.438622 0.234327 0.013498 -1271.556154 0 1 0 0 0 0
5.255651 22.899268 0.421244 1.620679 0.259429 0.003999 -1270.900439 0 1 0 0 0 0
5.273475 24.104492 0.440423 1.784014 0.277024 -0.007944 -1270.161985 0 1 0 0 0 0
5.291798 25.309717 0.459247 1.909724 0.284230 -0.020414 -1269.328241 0 1 0 0 0 0
5.310130 26.514942 0.477799 1.982901 0.285014 -0.030200 -1268.352228 0 1 0 0 0 0
5.327965 27.720166 0.496179 2.060422 0.290583 -0.039547 -1267.234585 0 1 0 0 0 0
5.345265 28.925391 0.514406 2.034198 0.271843 -0.047690 -1266.121341 0 1 0 0 0 0
5.363800 30.130616 0.532143 1.979939 0.243694 -0.054554 -1265.153596 0 1 0 0 0 0
