r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.197571 -15.667920 -0.294697 0.707345 -0.103573 0.003762 -1271.923308 0 1 0 0 0 0
5.179875 -14.462695 -0.273890 0.665890 -0.095097 0.004327 -1272.026678 0 1 0 0 0 0
5.165950 -13.257471 -0.252421 0.663156 -0.094083 0.007029 -1272.190071 0 1 0 0 0 0
5.151787 -12.052246 -0.230737 0.637457 -0.087936 0.008402 -1272.446194 0 1 0 0 0 0
5.136619 -10.847022 -0.208892 0.569183 -0.076123 0.008053 -1272.448306 0 1 0 0 0 0
5.123401 -9.641797 -0.186641 0.495023 -0.063496 0.007367 -1272.077579 0 1 0 0 0 0
5.112406 -8.436572 -0.164014 0.414206 -0.048524 0.005957 -1271.423011 0 1 0 0 0 0
5.103483 -7.231348 -0.141075 0.325045 -0.031259 0.003959 -1270.632320 0 1 0 0 0 0
5.096398 -6.026123 -0.117890 0.247349 -0.017013 0.002303 -1269.824440 0 1 0 0 0 0
5.090882 -4.820898 -0.094516 0.187053 -0.008238 0.001267 -1269.062691 0 1 0 0 0 0
5.086690 -3.615674 -0.071004 0.134656 -0.003729 0.000634 -1268.410325 0 1 0 0 0 0
5.083663 -2.410391 -0.047391 0.079723 -0.001426 0.000219 -1267.925883 0 1 0 0 0 0
5.081793 -1.205225 -0.023714 0.024344 -0.000230 0.000019 -1267.643200 0 1 0 0 0 0
5.081161 0.000000 0.000000 0.000055 -0.000002 -0.000000 -1267.557625 0 1 0 0 0 0
5.081850 1.205225 0.023713 0.011644 0.000074 -0.000001 -1267.636887 0 1 0 0 0 0
5.083961 2.410449 0.047387 0.021445 0.000057 -0.000034 -1267.858541 0 1 0 0 0 0
5.087331 3.615674 0.070986 0.020006 -0.000550 -0.000093 -1268.225785 0 1 0 0 0 0
5.091567 4.820898 0.094491 0.019320 -0.001753 -0.000115 -1268.765949 0 1 0 0 0 0
5.096329 6.026123 0.117893 0.034226 -0.003126 -0.000168 -1269.487935 0 1 0 0 0 0
5.101516 7.231348 0.141184 0.072824 -0.003663 -0.000313 -1270.352438 0 1 0 0 0 0
5.107211 8.436572 0.164348 0.139825 -0.000070 -0.000122 -1271.285373 0 1 0 0 0 0
5.113412 9.641797 0.187371 0.250170 0.015099 0.001861 -1272.246998 0 1 0 0 0 0
5.120341 10.847022 0.210222 0.404951 0.046770 0.007574 -1273.230659 0 1 0 0 0 0
5.128626 12.052246 0.232826 0.578171 0.090741 0.017223 -1274.207514 0 1 0 0 0 0
5.138771 13.257471 0.255098 0.750739 0.140434 0.029472 -1275.067438 0 1 0 0 0 0
5.150581 14.462695 0.277014 0.922494 0.191697 0.042505 -1275.694772 0 1 0 0 0 0
5.163742 15.667920 0.298571 1.094153 0.242988 0.055586 -1276.053941 0 1 0 0 0 0
5.178328 16.873145 0.319729 1.246947 0.286896 0.067309 -1276.121464 0 1 0 0 0 0
5.193148 18.078369 0.340615 1.301593 0.287182 0.064527 -1275.907111 0 1 0 0 0 0
5.208181 19.283594 0.361228 1.341107 0.278494 0.056546 -1275.558581 0 1 0 0 0 0
5.224197 20.488819 0.381455 1.407127 0.280447 0.050569 -1275.112573 0 1 0 0 0 0
5.241096 21.694043 0.401293 1.539208 0.305965 0.049729 -1274.571724 0 1 0 0 0 0
5.258542 22.899268 0.420781 1.725992 0.349582 0.051983 -1273.967689 0 1 0 0 0 0
5.276497 24.104492 0.439918 1.916824 0.394476 0.053743 -1273.320631 0 1 0 0 0 0
5.294821 25.309717 0.458722 2.092559 0.435347 0.054261 -1272.636181 0 1 0 0 0 0
5.313497 26.514942 0.477194 2.224312 0.472956 0.057270 -1271.885313 0 1 0 0 0 0
5.332042 27.720166 0.495421 2.356654 0.516609 0.062105 -1271.040241 0 1 0 0 0 0
5.350737 28.925391 0.513354 2.490681 0.562269 0.067082 -1270.153602 0 1 0 0 0 0
5.368631 30.130616 0.531185 2.583219 0.602055 0.078839 -1269.266412 0 1 0 0 0 0
