r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.194404 -15.667920 -0.295056 0.717855 -0.108497 0.004737 -1276.373618 0 1 0 0 0 0
5.176875 -14.462695 -0.274207 0.681214 -0.100907 0.005513 -1276.443830 0 1 0 0 0 0
5.163039 -13.257471 -0.252706 0.679114 -0.099342 0.008168 -1276.598830 0 1 0 0 0 0
5.148759 -12.052246 -0.231009 0.651267 -0.092226 0.009379 -1276.857538 0 1 0 0 0 0
5.133614 -10.847022 -0.209136 0.583734 -0.080494 0.009060 -1276.846870 0 1 0 0 0 0
5.120554 -9.641797 -0.186848 0.511073 -0.067902 0.008345 -1276.452422 0 1 0 0 0 0
5.109731 -8.436572 -0.164186 0.426262 -0.051709 0.006626 -1275.762375 0 1 0 0 0 0
5.100907 -7.231348 -0.141218 0.325206 -0.031655 0.004105 -1274.954007 0 1 0 0 0 0
5.093814 -6.026123 -0.118010 0.240101 -0.015552 0.002169 -1274.142673 0 1 0 0 0 0
5.088200 -4.820898 -0.094616 0.180647 -0.006578 0.001132 -1273.373836 0 1 0 0 0 0
5.083921 -3.615674 -0.071082 0.135526 -0.002793 0.000621 -1272.702351 0 1 0 0 0 0
5.080885 -2.410470 -0.047445 0.090016 -0.001282 0.000286 -1272.184168 0 1 0 0 0 0
5.079020 -1.205233 -0.023740 0.032967 -0.000288 0.000039 -1271.869488 0 1 0 0 0 0
5.078380 -0.000001 -0.000000 -0.000003 0.000000 0.000000 -1271.769355 0 1 0 0 0 0
5.079099 1.205225 0.023739 0.016744 0.000113 0.000002 -1271.863177 0 1 0 0 0 0
5.081320 2.410449 0.047436 0.027109 -0.000056 -0.000050 -1272.109603 0 1 0 0 0 0
5.084884 3.615674 0.071055 0.020579 -0.001294 -0.000141 -1272.511164 0 1 0 0 0 0
5.089328 4.820898 0.094574 0.016847 -0.003474 -0.000198 -1273.092065 0 1 0 0 0 0
5.094233 6.026123 0.117990 0.032014 -0.006261 -0.000353 -1273.852327 0 1 0 0 0 0
5.099502 7.231348 0.141296 0.065849 -0.009215 -0.000685 -1274.732901 0 1 0 0 0 0
5.105232 8.436572 0.164475 0.120099 -0.008793 -0.000782 -1275.655236 0 1 0 0 0 0
5.111325 9.641797 0.187524 0.220936 0.004528 0.000811 -1276.577681 0 1 0 0 0 0
5.117942 10.847022 0.210419 0.380255 0.038553 0.006687 -1277.513415 0 1 0 0 0 0
5.125925 12.052246 0.233071 0.561901 0.086999 0.017221 -1278.455940 0 1 0 0 0 0
5.136027 13.257471 0.255371 0.740741 0.140880 0.030704 -1279.289356 0 1 0 0 0 0
5.147973 14.462695 0.277295 0.918077 0.195267 0.044735 -1279.889586 0 1 0 0 0 0
5.161249 15.667920 0.298860 1.095508 0.249130 0.058495 -1280.224818 0 1 0 0 0 0
5.175804 16.873145 0.320041 1.252882 0.295039 0.070680 -1280.282722 0 1 0 0 0 0
5.190539 18.078369 0.340957 1.303686 0.294366 0.068183 -1280.075707 0 1 0 0 0 0
5.205466 19.283594 0.361605 1.337953 0.282837 0.059708 -1279.740357 0 1 0 0 0 0
5.221352 20.488819 0.381871 1.402347 0.282694 0.052994 -1279.315188 0 1 0 0 0 0
5.238202 21.694043 0.401737 1.545047 0.311203 0.052657 -1278.794578 0 1 0 0 0 0
5.255584 22.899268 0.421255 1.746020 0.358767 0.055295 -1278.216521 0 1 0 0 0 0
5.273513 24.104492 0.440416 1.950862 0.407421 0.057209 -1277.606057 0 1 0 0 0 0
5.291903 25.309717 0.459229 2.130738 0.449887 0.058039 -1276.963954 0 1 0 0 0 0
5.310792 26.514942 0.477680 2.258641 0.489609 0.062883 -1276.202681 0 1 0 0 0 0
5.329441 27.720166 0.495904 2.399689 0.538122 0.069345 -1275.351756 0 1 0 0 0 0
5.348287 28.925391 0.513825 2.542496 0.588653 0.075926 -1274.460775 0 1 0 0 0 0
5.366508 30.130616 0.531606 2.653184 0.636727 0.090031 -1273.555015 0 1 0 0 0 0
