r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.039995 -1.291677 -0.461622 0.019455 -0.000540 -0.000001 -168.770216 0 1 0 0 0 0
3.009999 -1.192317 -0.434648 0.016830 -0.000457 0.000001 -170.560546 0 1 0 0 0 0
2.995463 -1.092958 -0.402304 0.014965 -0.000467 0.000005 -172.940114 0 1 0 0 0 0
2.982422 -0.993598 -0.368936 0.012788 -0.000437 0.000008 -176.421356 0 1 0 0 0 0
2.957866 -0.894238 -0.337578 0.010580 -0.000346 0.000006 -180.199452 0 1 0 0 0 0
2.932890 -0.794878 -0.305202 0.008430 -0.000240 0.000003 -182.904383 0 1 0 0 0 0
2.911947 -0.695518 -0.270907 0.006371 -0.000146 0.000001 -184.729084 0 1 0 0 0 0
2.894774 -0.596159 -0.234969 0.004440 -0.000071 0.000000 -185.866868 0 1 0 0 0 0
2.881162 -0.496799 -0.197662 0.002695 -0.000019 -0.000000 -186.467374 0 1 0 0 0 0
2.870840 -0.397439 -0.159269 0.001251 0.000007 -0.000000 -186.637767 0 1 0 0 0 0
2.863481 -0.298079 -0.120067 0.000337 0.000009 -0.000000 -186.459177 0 1 0 0 0 0
2.858902 -0.198720 -0.080301 0.000085 0.000002 -0.000000 -186.019052 0 1 0 0 0 0
2.856583 -0.099360 -0.040216 0.000000 0.000000 0.000000 -185.622503 0 1 0 0 0 0
2.855904 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -185.488672 0 1 0 0 0 0
2.856614 0.099360 0.040215 0.000021 -0.000000 -0.000000 -185.632034 0 1 0 0 0 0
2.858591 0.198720 0.080318 0.000017 -0.000001 -0.000000 -186.050810 0 1 0 0 0 0
2.861818 0.298079 0.120206 -0.000090 -0.000005 -0.000000 -186.735901 0 1 0 0 0 0
2.866611 0.397439 0.159739 -0.000530 -0.000017 -0.000000 -187.634942 0 1 0 0 0 0
2.873246 0.496799 0.198753 -0.000859 -0.000037 -0.000000 -188.639778 0 1 0 0 0 0
2.881415 0.596159 0.237153 -0.000175 -0.000060 -0.000001 -189.491170 0 1 0 0 0 0
2.891366 0.695518 0.274778 0.000898 -0.000083 -0.000002 -190.055946 0 1 0 0 0 0
2.902957 0.794878 0.311529 0.002125 -0.000105 -0.000003 -190.290321 0 1 0 0 0 0
2.915976 0.894238 0.347347 0.003444 -0.000127 -0.000004 -190.141286 0 1 0 0 0 0
2.930240 0.993598 0.382193 0.004809 -0.000151 -0.000006 -189.566083 0 1 0 0 0 0
2.945601 1.092958 0.416039 0.006185 -0.000177 -0.000009 -188.529727 0 1 0 0 0 0
2.961944 1.192317 0.448866 0.007547 -0.000206 -0.000012 -187.003094 0 1 0 0 0 0
2.979181 1.291677 0.480661 0.008880 -0.000241 -0.000016 -184.961620 0 1 0 0 0 0
2.997246 1.391037 0.511414 0.010176 -0.000281 -0.000020 -182.384143 0 1 0 0 0 0
3.016097 1.490397 0.541116 0.011434 -0.000328 -0.000024 -179.251545 0 1 0 0 0 0
3.035713 1.589756 0.569755 0.012657 -0.000381 -0.000029 -175.544912 0 1 0 0 0 0
3.056104 1.689116 0.597313 0.013856 -0.000441 -0.000034 -171.243140 0 1 0 0 0 0
3.077311 1.788476 0.623762 0.015040 -0.000507 -0.000039 -166.320130 0 1 0 0 0 0
3.099406 1.887836 0.649062 0.016221 -0.000580 -0.000044 -160.741878 0 1 0 0 0 0
3.122484 1.987196 0.673161 0.017406 -0.000660 -0.000050 -154.463716 0 1 0 0 0 0
3.146655 2.086555 0.696002 0.018598 -0.000747 -0.000057 -147.427837 0 1 0 0 0 0
3.172034 2.185915 0.717524 0.019795 -0.000842 -0.000063 -139.561064 0 1 0 0 0 0
3.198739 2.285275 0.737666 0.020989 -0.000949 -0.000071 -130.772855 0 1 0 0 0 0
3.226899 2.384635 0.756362 0.022161 -0.001071 -0.000079 -120.953995 0 1 0 0 0 0
3.256665 2.483994 0.773540 0.023286 -0.001215 -0.000089 -109.977019 0 1 0 0 0 0
