r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.041241 -1.291677 -0.461244 0.019427 -0.000537 -0.000001 -168.030350 0 1 0 0 0 0
3.011736 -1.192317 -0.434147 0.016837 -0.000459 0.000001 -169.857048 0 1 0 0 0 0
2.996926 -1.092958 -0.401911 0.014968 -0.000468 0.000006 -172.294144 0 1 0 0 0 0
2.983617 -0.993598 -0.368641 0.012794 -0.000438 0.000008 -175.810083 0 1 0 0 0 0
2.959022 -0.894238 -0.337315 0.010589 -0.000347 0.000006 -179.599196 0 1 0 0 0 0
2.934165 -0.794878 -0.304937 0.008440 -0.000240 0.000003 -182.309999 0 1 0 0 0 0
2.913316 -0.695518 -0.270652 0.006380 -0.000146 0.000001 -184.139382 0 1 0 0 0 0
2.896218 -0.596159 -0.234735 0.004449 -0.000071 0.000000 -185.281187 0 1 0 0 0 0
2.882664 -0.496799 -0.197456 0.002703 -0.000019 -0.000000 -185.885427 0 1 0 0 0 0
2.872387 -0.397439 -0.159098 0.001257 0.000006 -0.000000 -186.059558 0 1 0 0 0 0
2.865061 -0.298079 -0.119934 0.000340 0.000008 -0.000000 -185.884818 0 1 0 0 0 0
2.860504 -0.198720 -0.080211 0.000086 0.000002 -0.000000 -185.448403 0 1 0 0 0 0
2.858195 -0.099360 -0.040170 0.000000 0.000000 0.000000 -185.055253 0 1 0 0 0 0
2.857520 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -184.922655 0 1 0 0 0 0
2.858228 0.099360 0.040169 0.000021 -0.000000 -0.000000 -185.065116 0 1 0 0 0 0
2.860198 0.198720 0.080228 0.000019 -0.000001 -0.000000 -185.480933 0 1 0 0 0 0
2.863413 0.298079 0.120072 -0.000087 -0.000005 -0.000000 -186.161087 0 1 0 0 0 0
2.868185 0.397439 0.159564 -0.000522 -0.000016 -0.000000 -187.053635 0 1 0 0 0 0
2.874796 0.496799 0.198539 -0.000856 -0.000037 -0.000000 -188.051205 0 1 0 0 0 0
2.882942 0.596159 0.236902 -0.000179 -0.000060 -0.000001 -188.896748 0 1 0 0 0 0
2.892863 0.695518 0.274493 0.000893 -0.000083 -0.000002 -189.454255 0 1 0 0 0 0
2.904419 0.794878 0.311215 0.002121 -0.000105 -0.000003 -189.680041 0 1 0 0 0 0
2.917399 0.894238 0.347008 0.003441 -0.000127 -0.000004 -189.520817 0 1 0 0 0 0
2.931620 0.993598 0.381834 0.004807 -0.000151 -0.000006 -188.933584 0 1 0 0 0 0
2.946933 1.092958 0.415663 0.006185 -0.000177 -0.000009 -187.883140 0 1 0 0 0 0
2.963226 1.192317 0.448478 0.007549 -0.000206 -0.000012 -186.340152 0 1 0 0 0 0
2.980409 1.291677 0.480265 0.008885 -0.000241 -0.000016 -184.279834 0 1 0 0 0 0
2.998418 1.391037 0.511014 0.010184 -0.000281 -0.000019 -181.680795 0 1 0 0 0 0
3.017210 1.490397 0.540716 0.011444 -0.000328 -0.000024 -178.523685 0 1 0 0 0 0
3.036766 1.589756 0.569360 0.012671 -0.000381 -0.000029 -174.789373 0 1 0 0 0 0
3.057095 1.689116 0.596926 0.013871 -0.000440 -0.000034 -170.456572 0 1 0 0 0 0
3.078237 1.788476 0.623387 0.015058 -0.000507 -0.000039 -165.499055 0 1 0 0 0 0
3.100263 1.887836 0.648703 0.016240 -0.000579 -0.000044 -159.882743 0 1 0 0 0 0
3.123270 1.987196 0.672822 0.017426 -0.000659 -0.000050 -153.562949 0 1 0 0 0 0
3.147366 2.086555 0.695687 0.018619 -0.000746 -0.000057 -146.481887 0 1 0 0 0 0
3.172668 2.185915 0.717237 0.019817 -0.000841 -0.000063 -138.566412 0 1 0 0 0 0
3.199295 2.285275 0.737409 0.021010 -0.000948 -0.000071 -129.726024 0 1 0 0 0 0
3.227378 2.384635 0.756137 0.022182 -0.001070 -0.000079 -119.851549 0 1 0 0 0 0
3.257073 2.483994 0.773347 0.023307 -0.001213 -0.000089 -108.815582 0 1 0 0 0 0
