r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.167759 -1.291677 -0.425136 0.034649 -0.003201 0.000290 -178.497060 0 1 0 0 0 0
3.125144 -1.192317 -0.403209 0.029989 -0.002589 0.000220 -181.167373 0 1 0 0 0 0
3.083136 -1.092958 -0.379749 0.025318 -0.001995 0.000156 -183.381268 0 1 0 0 0 0
3.044411 -0.993598 -0.354065 0.020916 -0.001477 0.000104 -185.145684 0 1 0 0 0 0
3.009486 -0.894238 -0.326097 0.016809 -0.001041 0.000065 -186.470183 0 1 0 0 0 0
2.978798 -0.794878 -0.295867 0.013010 -0.000687 0.000037 -187.382208 0 1 0 0 0 0
2.952633 -0.695518 -0.263493 0.009523 -0.000412 0.000018 -187.924758 0 1 0 0 0 0
2.931096 -0.596159 -0.229182 0.006356 -0.000212 0.000007 -188.150041 0 1 0 0 0 0
2.914118 -0.496799 -0.193217 0.003550 -0.000079 0.000002 -188.109917 0 1 0 0 0 0
2.901491 -0.397439 -0.155922 0.001259 -0.000009 -0.000000 -187.844787 0 1 0 0 0 0
2.892899 -0.298079 -0.117637 -0.000091 0.000008 -0.000000 -187.383162 0 1 0 0 0 0
2.888188 -0.198720 -0.078681 -0.000174 0.000002 -0.000000 -186.776117 0 1 0 0 0 0
2.886231 -0.099360 -0.039394 -0.000059 0.000000 -0.000000 -186.298705 0 1 0 0 0 0
2.885646 0.000000 0.000000 0.000000 0.000000 0.000000 -186.136376 0 1 0 0 0 0
2.886160 0.099360 0.039396 -0.000091 -0.000000 0.000000 -186.298168 0 1 0 0 0 0
2.887696 0.198720 0.078708 -0.000412 -0.000003 0.000000 -186.780472 0 1 0 0 0 0
2.890325 0.298079 0.117847 -0.001068 -0.000010 0.000000 -187.576139 0 1 0 0 0 0
2.894502 0.397439 0.156676 -0.002257 -0.000029 0.000001 -188.653951 0 1 0 0 0 0
2.900790 0.496799 0.194996 -0.003044 -0.000065 0.000002 -189.888685 0 1 0 0 0 0
2.909410 0.596159 0.232611 -0.002126 -0.000105 0.000000 -191.012968 0 1 0 0 0 0
2.920577 0.695518 0.269308 -0.000512 -0.000127 -0.000002 -191.970654 0 1 0 0 0 0
2.934107 0.794878 0.304949 0.001568 -0.000120 -0.000005 -192.740565 0 1 0 0 0 0
2.949772 0.894238 0.339434 0.004037 -0.000076 -0.000007 -193.306549 0 1 0 0 0 0
2.967332 0.993598 0.372698 0.006839 0.000009 -0.000008 -193.665080 0 1 0 0 0 0
2.986548 1.092958 0.404709 0.009931 0.000136 -0.000007 -193.820849 0 1 0 0 0 0
3.007196 1.192317 0.435459 0.013279 0.000306 -0.000004 -193.783657 0 1 0 0 0 0
3.029068 1.291677 0.464959 0.016852 0.000515 0.000002 -193.566359 0 1 0 0 0 0
3.051980 1.391037 0.493235 0.020616 0.000762 0.000011 -193.183467 0 1 0 0 0 0
3.075771 1.490397 0.520322 0.024539 0.001039 0.000022 -192.650246 0 1 0 0 0 0
3.100298 1.589756 0.546264 0.028583 0.001341 0.000034 -191.982149 0 1 0 0 0 0
3.125435 1.689116 0.571107 0.032709 0.001658 0.000047 -191.194547 0 1 0 0 0 0
3.151070 1.788476 0.594902 0.036875 0.001983 0.000059 -190.302669 0 1 0 0 0 0
3.177096 1.887836 0.617707 0.041041 0.002306 0.000070 -189.321724 0 1 0 0 0 0
3.203403 1.987196 0.639582 0.045167 0.002619 0.000078 -188.267122 0 1 0 0 0 0
3.229878 2.086555 0.660597 0.049226 0.002915 0.000083 -187.154714 0 1 0 0 0 0
3.256397 2.185915 0.680828 0.053204 0.003191 0.000084 -186.000888 0 1 0 0 0 0
3.282833 2.285275 0.700357 0.057115 0.003451 0.000083 -184.822349 0 1 0 0 0 0
3.309075 2.384635 0.719262 0.060994 0.003702 0.000080 -183.635426 0 1 0 0 0 0
3.335044 2.483994 0.737609 0.064894 0.003955 0.000076 -182.455036 0 1 0 0 0 0
