r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.186466 -1.291677 -0.420159 0.035044 -0.003259 0.000296 -174.014171 0 1 0 0 0 0
3.142762 -1.192317 -0.398701 0.030143 -0.002600 0.000220 -176.582495 0 1 0 0 0 0
3.101390 -1.092958 -0.375292 0.025433 -0.002002 0.000155 -178.715580 0 1 0 0 0 0
3.063256 -0.993598 -0.349722 0.020998 -0.001481 0.000104 -180.414179 0 1 0 0 0 0
3.028860 -0.894238 -0.321939 0.016865 -0.001043 0.000064 -181.689654 0 1 0 0 0 0
2.998620 -0.794878 -0.291969 0.013049 -0.000688 0.000037 -182.569260 0 1 0 0 0 0
2.972806 -0.695518 -0.259929 0.009555 -0.000413 0.000018 -183.093790 0 1 0 0 0 0
2.951519 -0.596159 -0.226021 0.006395 -0.000213 0.000007 -183.312001 0 1 0 0 0 0
2.934703 -0.496799 -0.190516 0.003614 -0.000081 0.000002 -183.272616 0 1 0 0 0 0
2.922172 -0.397439 -0.153723 0.001367 -0.000012 -0.000000 -183.015448 0 1 0 0 0 0
2.913652 -0.298079 -0.115967 0.000056 0.000006 -0.000000 -182.572528 0 1 0 0 0 0
2.909024 -0.198720 -0.077558 -0.000093 0.000002 -0.000000 -181.995736 0 1 0 0 0 0
2.907041 -0.099360 -0.038832 -0.000040 0.000000 -0.000000 -181.553750 0 1 0 0 0 0
2.906444 0.000000 0.000000 0.000000 0.000000 0.000000 -181.403287 0 1 0 0 0 0
2.906970 0.099360 0.038834 -0.000070 -0.000000 0.000000 -181.553552 0 1 0 0 0 0
2.908537 0.198720 0.077584 -0.000327 -0.000003 0.000000 -182.001943 0 1 0 0 0 0
2.911190 0.298079 0.116163 -0.000869 -0.000010 0.000000 -182.741787 0 1 0 0 0 0
2.915333 0.397439 0.154445 -0.001913 -0.000029 0.000001 -183.744729 0 1 0 0 0 0
2.921585 0.496799 0.192230 -0.002844 -0.000065 0.000002 -184.913563 0 1 0 0 0 0
2.930139 0.596159 0.229332 -0.002105 -0.000105 0.000001 -186.008427 0 1 0 0 0 0
2.941214 0.695518 0.265542 -0.000531 -0.000127 -0.000002 -186.935369 0 1 0 0 0 0
2.954620 0.794878 0.300729 0.001522 -0.000122 -0.000005 -187.681419 0 1 0 0 0 0
2.970130 0.894238 0.334796 0.003972 -0.000079 -0.000007 -188.230485 0 1 0 0 0 0
2.987510 0.993598 0.367681 0.006764 0.000003 -0.000008 -188.578642 0 1 0 0 0 0
3.006525 1.092958 0.399349 0.009852 0.000129 -0.000007 -188.730080 0 1 0 0 0 0
3.026955 1.192317 0.429792 0.013200 0.000297 -0.000004 -188.693982 0 1 0 0 0 0
3.048599 1.291677 0.459021 0.016775 0.000504 0.000002 -188.482463 0 1 0 0 0 0
3.071274 1.391037 0.487057 0.020544 0.000748 0.000010 -188.109218 0 1 0 0 0 0
3.094823 1.490397 0.513936 0.024471 0.001023 0.000020 -187.588637 0 1 0 0 0 0
3.119104 1.589756 0.539696 0.028519 0.001321 0.000032 -186.935278 0 1 0 0 0 0
3.143996 1.689116 0.564383 0.032649 0.001635 0.000044 -186.163609 0 1 0 0 0 0
3.169388 1.788476 0.588046 0.036821 0.001956 0.000055 -185.287957 0 1 0 0 0 0
3.195175 1.887836 0.610736 0.040992 0.002275 0.000065 -184.322612 0 1 0 0 0 0
3.221252 1.987196 0.632513 0.045127 0.002584 0.000072 -183.282047 0 1 0 0 0 0
3.247511 2.086555 0.653443 0.049195 0.002877 0.000076 -182.181139 0 1 0 0 0 0
3.273830 2.185915 0.673596 0.053183 0.003149 0.000077 -181.035293 0 1 0 0 0 0
3.300089 2.285275 0.693052 0.057097 0.003404 0.000074 -179.860274 0 1 0 0 0 0
3.326175 2.384635 0.711886 0.060970 0.003647 0.000070 -178.671627 0 1 0 0 0 0
3.352007 2.483994 0.730162 0.064849 0.003888 0.000064 -177.483736 0 1 0 0 0 0
