r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.069148 -1.291677 -0.452894 0.020028 -0.000643 0.000006 -138.757041 0 1 0 0 0 0
3.044755 -1.192317 -0.424782 0.017803 -0.000610 0.000009 -142.016880 0 1 0 0 0 0
3.021689 -1.092958 -0.395351 0.015505 -0.000562 0.000011 -146.111634 0 1 0 0 0 0
2.996262 -0.993598 -0.365536 0.013230 -0.000485 0.000010 -150.723318 0 1 0 0 0 0
2.968957 -0.894238 -0.335061 0.011027 -0.000370 0.000006 -154.307296 0 1 0 0 0 0
2.945993 -0.794878 -0.302493 0.008855 -0.000258 0.000003 -156.768164 0 1 0 0 0 0
2.926866 -0.695518 -0.268152 0.006738 -0.000159 0.000001 -158.345504 0 1 0 0 0 0
2.911315 -0.596159 -0.232307 0.004712 -0.000079 0.000000 -159.245846 0 1 0 0 0 0
2.899164 -0.496799 -0.195215 0.002838 -0.000024 -0.000000 -159.633696 0 1 0 0 0 0
2.890180 -0.397439 -0.157145 0.001243 0.000005 -0.000000 -159.630443 0 1 0 0 0 0
2.884001 -0.298079 -0.118364 0.000219 0.000009 -0.000000 -159.325342 0 1 0 0 0 0
2.880310 -0.198720 -0.079112 -0.000007 0.000003 -0.000000 -158.809070 0 1 0 0 0 0
2.878504 -0.099360 -0.039606 -0.000028 0.000000 0.000000 -158.383431 0 1 0 0 0 0
2.877993 0.000000 0.000000 -0.000002 -0.000000 -0.000000 -158.241837 0 1 0 0 0 0
2.878565 0.099360 0.039604 -0.000002 -0.000000 -0.000000 -158.394631 0 1 0 0 0 0
2.880141 0.198720 0.079121 -0.000083 -0.000002 -0.000000 -158.837659 0 1 0 0 0 0
2.882746 0.298079 0.118467 -0.000316 -0.000006 -0.000000 -159.561611 0 1 0 0 0 0
2.886682 0.397439 0.157526 -0.000893 -0.000017 -0.000000 -160.525763 0 1 0 0 0 0
2.892300 0.496799 0.196143 -0.001320 -0.000037 -0.000000 -161.615366 0 1 0 0 0 0
2.899519 0.596159 0.234201 -0.000605 -0.000060 -0.000001 -162.547543 0 1 0 0 0 0
2.908551 0.695518 0.271540 0.000529 -0.000083 -0.000001 -163.197083 0 1 0 0 0 0
2.919217 0.794878 0.308068 0.001845 -0.000104 -0.000003 -163.505323 0 1 0 0 0 0
2.931309 0.894238 0.343723 0.003265 -0.000125 -0.000004 -163.410059 0 1 0 0 0 0
2.944653 0.993598 0.378461 0.004734 -0.000145 -0.000006 -162.860513 0 1 0 0 0 0
2.959118 1.092958 0.412247 0.006212 -0.000168 -0.000008 -161.814143 0 1 0 0 0 0
2.974611 1.192317 0.445052 0.007675 -0.000194 -0.000011 -160.234457 0 1 0 0 0 0
2.991070 1.291677 0.476848 0.009105 -0.000225 -0.000015 -158.089565 0 1 0 0 0 0
3.008459 1.391037 0.507609 0.010490 -0.000261 -0.000019 -155.351100 0 1 0 0 0 0
3.026761 1.490397 0.537309 0.011826 -0.000304 -0.000023 -151.993253 0 1 0 0 0 0
3.045972 1.589756 0.565923 0.013111 -0.000353 -0.000028 -147.991729 0 1 0 0 0 0
3.066095 1.689116 0.593426 0.014348 -0.000411 -0.000033 -143.322373 0 1 0 0 0 0
3.087148 1.788476 0.619793 0.015542 -0.000475 -0.000038 -137.959272 0 1 0 0 0 0
3.109157 1.887836 0.644997 0.016703 -0.000548 -0.000043 -131.872187 0 1 0 0 0 0
3.132167 1.987196 0.669005 0.017840 -0.000628 -0.000049 -125.023392 0 1 0 0 0 0
3.156241 2.086555 0.691780 0.018961 -0.000717 -0.000055 -117.364141 0 1 0 0 0 0
3.181470 2.185915 0.713274 0.020068 -0.000815 -0.000062 -108.831129 0 1 0 0 0 0
3.207984 2.285275 0.733420 0.021159 -0.000926 -0.000069 -99.343614 0 1 0 0 0 0
3.236022 2.384635 0.752104 0.022206 -0.001057 -0.000077 -88.795080 0 1 0 0 0 0
3.266321 2.483994 0.768974 0.022891 -0.001358 -0.000098 -77.065907 0 1 0 0 0 0
