r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.516562 -1.291677 -0.344982 0.017801 -0.000314 0.000002 -1560.883381 0 1 0 0 0 0
3.503204 -1.192317 -0.320878 0.015047 -0.000209 0.000001 -1564.972207 0 1 0 0 0 0
3.491450 -1.092958 -0.296122 0.012345 -0.000121 0.000000 -1568.056438 0 1 0 0 0 0
3.481252 -0.993598 -0.270781 0.009710 -0.000052 0.000000 -1570.282904 0 1 0 0 0 0
3.472265 -0.894238 -0.244966 0.007281 -0.000003 0.000000 -1571.754987 0 1 0 0 0 0
3.464004 -0.794878 -0.218788 0.005445 0.000019 0.000000 -1572.578676 0 1 0 0 0 0
3.456842 -0.695518 -0.192233 0.004130 0.000022 0.000000 -1572.919575 0 1 0 0 0 0
3.450707 -0.596159 -0.165358 0.003168 0.000014 0.000000 -1572.879883 0 1 0 0 0 0
3.441503 -0.496799 -0.138536 0.002429 0.000003 0.000000 -1572.609556 0 1 0 0 0 0
3.428445 -0.397439 -0.111675 0.001754 -0.000002 0.000000 -1572.262682 0 1 0 0 0 0
3.416137 -0.298289 -0.084420 0.001028 -0.000001 -0.000000 -1571.915717 0 1 0 0 0 0
3.412624 -0.280962 -0.079680 0.000428 0.000001 0.000000 -1571.805984 0 1 0 0 0 0
3.425211 -0.185475 -0.052214 0.018016 0.000057 0.000000 -1567.183289 0 1 0 0 0 0
3.420719 -0.197217 -0.055666 0.001829 -0.000006 -0.000000 -1570.949343 0 1 0 0 0 0
3.382764 -0.026940 -0.007776 0.000543 0.000005 0.000000 -1568.087192 0 1 0 0 0 0
3.403388 0.145593 0.041514 -0.000076 0.000000 0.000000 -1571.118416 0 1 0 0 0 0
3.415106 0.317960 0.090041 0.000977 0.000005 0.000000 -1571.875164 0 1 0 0 0 0
3.423609 0.397439 0.111990 0.001520 0.000009 0.000000 -1572.145690 0 1 0 0 0 0
3.435461 0.496799 0.139024 0.002164 0.000012 0.000000 -1572.549634 0 1 0 0 0 0
3.445484 0.596159 0.165859 0.002600 0.000008 0.000000 -1573.070267 0 1 0 0 0 0
3.450591 0.695518 0.192930 0.002909 -0.000004 -0.000000 -1573.646595 0 1 0 0 0 0
3.454873 0.794878 0.219945 0.003380 -0.000019 -0.000000 -1574.130145 0 1 0 0 0 0
3.459804 0.894238 0.246734 0.004394 -0.000026 -0.000000 -1574.397079 0 1 0 0 0 0
3.465549 0.993598 0.273241 0.005917 -0.000023 -0.000001 -1574.333735 0 1 0 0 0 0
3.471883 1.092958 0.299469 0.007534 -0.000018 -0.000001 -1573.931254 0 1 0 0 0 0
3.478753 1.192317 0.325404 0.009153 -0.000014 -0.000002 -1573.151876 0 1 0 0 0 0
3.486061 1.291677 0.351045 0.010730 -0.000014 -0.000003 -1571.953231 0 1 0 0 0 0
3.493694 1.391037 0.376398 0.012250 -0.000020 -0.000005 -1570.289310 0 1 0 0 0 0
3.501567 1.490397 0.401472 0.013709 -0.000033 -0.000007 -1568.107953 0 1 0 0 0 0
3.509644 1.589756 0.426268 0.015107 -0.000053 -0.000010 -1565.348985 0 1 0 0 0 0
3.517948 1.689116 0.450775 0.016439 -0.000083 -0.000013 -1561.942778 0 1 0 0 0 0
3.526548 1.788476 0.474966 0.017694 -0.000124 -0.000018 -1557.809069 0 1 0 0 0 0
3.535539 1.887836 0.498806 0.018854 -0.000176 -0.000024 -1552.856231 0 1 0 0 0 0
3.545001 1.987196 0.522260 0.019891 -0.000244 -0.000031 -1546.981614 0 1 0 0 0 0
3.554931 2.086555 0.545313 0.020773 -0.000333 -0.000040 -1540.074253 0 1 0 0 0 0
3.565151 2.185915 0.568010 0.021476 -0.000450 -0.000050 -1532.022017 0 1 0 0 0 0
3.575212 2.285275 0.590491 0.022011 -0.000606 -0.000063 -1522.724429 0 1 0 0 0 0
3.584486 2.384635 0.612981 0.022457 -0.000804 -0.000078 -1512.104301 0 1 0 0 0 0
3.592517 2.483994 0.635670 0.022955 -0.001042 -0.000096 -1500.098588 0 1 0 0 0 0
