r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.063495 -1.291677 -0.454568 0.020152 -0.000654 0.000006 -156.531858 0 1 0 0 0 0
3.038617 -1.192317 -0.426500 0.017893 -0.000618 0.000009 -159.768979 0 1 0 0 0 0
3.015240 -1.092958 -0.397044 0.015553 -0.000567 0.000011 -163.860546 0 1 0 0 0 0
2.989642 -0.993598 -0.367156 0.013236 -0.000487 0.000010 -168.486258 0 1 0 0 0 0
2.962041 -0.894238 -0.336627 0.011001 -0.000370 0.000006 -172.086590 0 1 0 0 0 0
2.938745 -0.794878 -0.303987 0.008815 -0.000258 0.000003 -174.562843 0 1 0 0 0 0
2.919281 -0.695518 -0.269548 0.006701 -0.000159 0.000001 -176.155498 0 1 0 0 0 0
2.903399 -0.596159 -0.233575 0.004691 -0.000080 0.000000 -177.069138 0 1 0 0 0 0
2.890927 -0.496799 -0.196329 0.002842 -0.000024 -0.000000 -177.465958 0 1 0 0 0 0
2.881639 -0.397439 -0.158078 0.001274 0.000005 -0.000000 -177.466157 0 1 0 0 0 0
2.875184 -0.298079 -0.119091 0.000260 0.000009 -0.000000 -177.159916 0 1 0 0 0 0
2.871246 -0.198720 -0.079612 0.000015 0.000003 -0.000000 -176.639193 0 1 0 0 0 0
2.869261 -0.099360 -0.039861 -0.000022 0.000000 0.000000 -176.207955 0 1 0 0 0 0
2.868685 0.000000 0.000000 -0.000002 -0.000000 -0.000000 -176.064144 0 1 0 0 0 0
2.869311 0.099360 0.039860 0.000001 -0.000000 -0.000000 -176.218542 0 1 0 0 0 0
2.871056 0.198720 0.079623 -0.000068 -0.000002 -0.000000 -176.666989 0 1 0 0 0 0
2.873938 0.298079 0.119194 -0.000283 -0.000006 -0.000000 -177.399921 0 1 0 0 0 0
2.878250 0.397439 0.158450 -0.000840 -0.000017 -0.000000 -178.374638 0 1 0 0 0 0
2.884285 0.496799 0.197234 -0.001235 -0.000038 -0.000000 -179.474581 0 1 0 0 0 0
2.891851 0.596159 0.235445 -0.000496 -0.000061 -0.000001 -180.413513 0 1 0 0 0 0
2.901169 0.695518 0.272924 0.000647 -0.000083 -0.000002 -181.068501 0 1 0 0 0 0
2.912079 0.794878 0.309580 0.001965 -0.000104 -0.000003 -181.382029 0 1 0 0 0 0
2.924385 0.894238 0.345353 0.003382 -0.000124 -0.000004 -181.292588 0 1 0 0 0 0
2.937924 0.993598 0.380197 0.004847 -0.000144 -0.000006 -180.749425 0 1 0 0 0 0
2.952574 1.092958 0.414076 0.006321 -0.000167 -0.000009 -179.709515 0 1 0 0 0 0
2.968250 1.192317 0.446961 0.007780 -0.000193 -0.000012 -178.135512 0 1 0 0 0 0
2.984897 1.291677 0.478822 0.009206 -0.000224 -0.000015 -175.994391 0 1 0 0 0 0
3.002486 1.391037 0.509630 0.010590 -0.000261 -0.000019 -173.256448 0 1 0 0 0 0
3.021005 1.490397 0.539359 0.011924 -0.000305 -0.000023 -169.894424 0 1 0 0 0 0
3.040455 1.589756 0.567979 0.013209 -0.000355 -0.000028 -165.882564 0 1 0 0 0 0
3.060846 1.689116 0.595464 0.014445 -0.000414 -0.000033 -161.195360 0 1 0 0 0 0
3.082200 1.788476 0.621785 0.015638 -0.000480 -0.000039 -155.805761 0 1 0 0 0 0
3.104545 1.887836 0.646915 0.016796 -0.000553 -0.000044 -149.682668 0 1 0 0 0 0
3.127925 1.987196 0.670821 0.017929 -0.000635 -0.000050 -142.787750 0 1 0 0 0 0
3.152402 2.086555 0.693466 0.019043 -0.000725 -0.000056 -135.071777 0 1 0 0 0 0
3.178058 2.185915 0.714806 0.020143 -0.000824 -0.000063 -126.470853 0 1 0 0 0 0
3.205012 2.285275 0.734781 0.021226 -0.000935 -0.000070 -116.903173 0 1 0 0 0 0
3.233523 2.384635 0.753267 0.022253 -0.001070 -0.000078 -106.254321 0 1 0 0 0 0
3.264477 2.483994 0.769843 0.022837 -0.001406 -0.000101 -94.461780 0 1 0 0 0 0
