r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.066679 -1.291677 -0.453624 0.020081 -0.000647 0.000006 -160.100152 0 1 0 0 0 0
3.042370 -1.192317 -0.425448 0.017834 -0.000613 0.000009 -163.348728 0 1 0 0 0 0
3.019409 -1.092958 -0.395948 0.015515 -0.000564 0.000011 -167.441837 0 1 0 0 0 0
2.993955 -0.993598 -0.366099 0.013224 -0.000485 0.000010 -172.055517 0 1 0 0 0 0
2.966472 -0.894238 -0.335623 0.011013 -0.000369 0.000006 -175.640149 0 1 0 0 0 0
2.943347 -0.794878 -0.303037 0.008839 -0.000258 0.000003 -178.103175 0 1 0 0 0 0
2.924083 -0.695518 -0.268663 0.006726 -0.000159 0.000001 -179.683745 0 1 0 0 0 0
2.908417 -0.596159 -0.232770 0.004708 -0.000080 0.000000 -180.587233 0 1 0 0 0 0
2.896171 -0.496799 -0.195619 0.002843 -0.000024 -0.000000 -180.977048 0 1 0 0 0 0
2.887108 -0.397439 -0.157479 0.001259 0.000005 -0.000000 -180.974022 0 1 0 0 0 0
2.880864 -0.298079 -0.118622 0.000237 0.000009 -0.000000 -180.667717 0 1 0 0 0 0
2.877115 -0.198720 -0.079288 0.000003 0.000003 -0.000000 -180.149236 0 1 0 0 0 0
2.875268 -0.099360 -0.039695 -0.000025 0.000000 0.000000 -179.720971 0 1 0 0 0 0
2.874742 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -179.578359 0 1 0 0 0 0
2.875326 0.099360 0.039693 -0.000001 -0.000000 -0.000000 -179.731918 0 1 0 0 0 0
2.876942 0.198720 0.079297 -0.000077 -0.000002 -0.000000 -180.177511 0 1 0 0 0 0
2.879611 0.298079 0.118725 -0.000303 -0.000006 -0.000000 -180.905766 0 1 0 0 0 0
2.883640 0.397439 0.157858 -0.000872 -0.000017 -0.000000 -181.875108 0 1 0 0 0 0
2.889364 0.496799 0.196542 -0.001284 -0.000037 -0.000000 -182.969749 0 1 0 0 0 0
2.896664 0.596159 0.234663 -0.000556 -0.000061 -0.000001 -183.905173 0 1 0 0 0 0
2.905760 0.695518 0.272062 0.000583 -0.000083 -0.000001 -184.557740 0 1 0 0 0 0
2.916480 0.794878 0.308646 0.001902 -0.000104 -0.000003 -184.869158 0 1 0 0 0 0
2.928618 0.894238 0.344355 0.003323 -0.000124 -0.000004 -184.777642 0 1 0 0 0 0
2.942000 0.993598 0.379144 0.004792 -0.000145 -0.000006 -184.232677 0 1 0 0 0 0
2.956498 1.092958 0.412978 0.006270 -0.000167 -0.000008 -183.191864 0 1 0 0 0 0
2.972018 1.192317 0.445828 0.007733 -0.000193 -0.000011 -181.618781 0 1 0 0 0 0
2.988499 1.291677 0.477668 0.009164 -0.000223 -0.000015 -179.481555 0 1 0 0 0 0
3.005904 1.391037 0.508472 0.010551 -0.000259 -0.000019 -176.751794 0 1 0 0 0 0
3.024217 1.490397 0.538213 0.011889 -0.000302 -0.000023 -173.403643 0 1 0 0 0 0
3.043434 1.589756 0.566867 0.013177 -0.000352 -0.000028 -169.412751 0 1 0 0 0 0
3.063561 1.689116 0.594409 0.014418 -0.000409 -0.000033 -164.754928 0 1 0 0 0 0
3.084615 1.788476 0.620811 0.015617 -0.000474 -0.000038 -159.404267 0 1 0 0 0 0
3.106628 1.887836 0.646048 0.016783 -0.000546 -0.000044 -153.330617 0 1 0 0 0 0
3.129646 1.987196 0.670083 0.017925 -0.000626 -0.000049 -146.496451 0 1 0 0 0 0
3.153739 2.086555 0.692879 0.019051 -0.000715 -0.000056 -138.853354 0 1 0 0 0 0
3.179000 2.185915 0.714383 0.020164 -0.000813 -0.000062 -130.338491 0 1 0 0 0 0
3.205562 2.285275 0.734529 0.021261 -0.000923 -0.000069 -120.871681 0 1 0 0 0 0
3.233657 2.384635 0.753204 0.022314 -0.001053 -0.000078 -110.347956 0 1 0 0 0 0
3.264027 2.483994 0.770055 0.023021 -0.001347 -0.000097 -98.639592 0 1 0 0 0 0
