r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.742437 -1.291677 -0.567230 0.027709 -0.001790 0.000071 -469.453910 0 1 0 0 0 0
2.691319 -1.192317 -0.543676 0.019020 -0.001053 0.000051 -433.210398 0 1 0 0 0 0
2.618472 -1.155486 -0.556606 0.023417 -0.001604 0.000067 -426.154583 0 1 0 0 0 0
2.521332 -0.954665 -0.495986 0.011174 -0.000519 0.000033 -463.821879 0 1 0 0 0 0
2.448688 -0.894238 -0.492566 0.013280 -0.000869 0.000048 -533.519373 0 1 0 0 0 0
2.787450 -0.794878 -0.337882 0.025332 -0.001083 0.000037 -377.889876 0 1 0 0 0 0
2.359979 -0.695518 -0.412450 0.011086 -0.000604 0.000031 -465.798886 0 1 0 0 0 0
2.664760 -0.596159 -0.277284 0.020866 -0.000748 0.000029 -385.759452 0 1 0 0 0 0
2.297481 -0.496799 -0.310853 -0.001218 0.000155 0.000012 -489.807961 0 1 0 0 0 0
2.285694 -0.397439 -0.251254 -0.000132 -0.000010 0.000011 -489.528859 0 1 0 0 0 0
2.319342 -0.298079 -0.183013 0.002112 -0.000081 0.000013 -483.413331 0 1 0 0 0 0
2.272832 -0.184124 -0.117721 0.010280 -0.000219 0.000015 -407.784495 0 1 0 0 0 0
2.385269 -0.099360 -0.057679 0.008607 -0.000001 0.000017 -468.026265 0 1 0 0 0 0
2.284471 -0.000000 -0.000000 0.010205 0.000191 0.000009 -447.702177 0 1 0 0 0 0
2.241911 0.099360 0.065291 0.009519 0.000092 0.000029 -496.548520 0 1 0 0 0 0
2.103755 0.198720 0.148296 -0.005435 -0.000065 0.000001 -469.435531 0 1 0 0 0 0
2.125228 0.298184 0.218048 -0.005573 -0.000090 0.000000 -474.823936 0 1 0 0 0 0
2.176600 0.397439 0.277072 -0.005951 -0.000163 -0.000003 -483.372219 0 1 0 0 0 0
2.226208 0.496799 0.331076 -0.006313 -0.000274 -0.000008 -489.349546 0 1 0 0 0 0
2.158877 0.596159 0.422459 0.002167 -0.000398 -0.000037 -511.355682 0 1 0 0 0 0
2.277853 0.695518 0.442727 0.003031 -0.000183 -0.000014 -504.071700 0 1 0 0 0 0
2.324095 0.794878 0.486039 0.004307 -0.000257 -0.000023 -497.365148 0 1 0 0 0 0
2.369151 0.894238 0.526195 0.005613 -0.000351 -0.000033 -487.109823 0 1 0 0 0 0
2.429344 0.993598 0.556047 0.017912 0.000720 0.000043 -480.750810 0 1 0 0 0 0
2.458094 1.092958 0.597427 0.008069 -0.000617 -0.000059 -457.654699 0 1 0 0 0 0
2.499962 1.192317 0.630091 0.023759 0.000894 0.000039 -477.532628 0 1 0 0 0 0
2.627716 1.291677 0.617840 -0.007680 -0.002061 -0.000114 -475.153338 0 1 0 0 0 0
2.678745 1.391037 0.640258 -0.007564 -0.002342 -0.000132 -469.252874 0 1 0 0 0 0
2.692448 1.490397 0.679025 -0.003281 -0.002170 -0.000087 -416.151291 0 1 0 0 0 0
2.781782 1.589756 0.678521 -0.007135 -0.002896 -0.000165 -457.303619 0 1 0 0 0 0
2.833795 1.689116 0.694707 -0.006805 -0.003160 -0.000181 -451.577128 0 1 0 0 0 0
2.885996 1.788476 0.709203 -0.006380 -0.003412 -0.000196 -446.161158 0 1 0 0 0 0
2.938063 1.887836 0.722305 -0.005836 -0.003650 -0.000210 -441.089582 0 1 0 0 0 0
2.989487 1.987196 0.734389 -0.005143 -0.003875 -0.000224 -436.318918 0 1 0 0 0 0
3.039696 2.086555 0.745845 -0.004264 -0.004087 -0.000238 -431.729015 0 1 0 0 0 0
3.088237 2.185915 0.756991 -0.003167 -0.004285 -0.000253 -427.138735 0 1 0 0 0 0
3.134874 2.285275 0.768028 -0.001827 -0.004468 -0.000268 -422.325546 0 1 0 0 0 0
3.179577 2.384635 0.779044 -0.000230 -0.004635 -0.000284 -417.038117 0 1 0 0 0 0
3.222460 2.483994 0.790049 0.001631 -0.004784 -0.000301 -410.998236 0 1 0 0 0 0
