r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.912151 -1.291677 -0.503043 0.021510 -0.000774 0.000011 -237.873937 0 1 0 0 0 0
3.035396 -1.192317 -0.427405 0.015292 -0.000564 0.000015 -237.248606 0 1 0 0 0 0
2.979982 -1.092958 -0.406495 0.013393 -0.000471 0.000011 -241.101362 0 1 0 0 0 0
2.928262 -0.993598 -0.382710 0.011615 -0.000382 0.000007 -243.770069 0 1 0 0 0 0
2.881911 -0.894238 -0.355607 0.009832 -0.000291 0.000004 -245.288312 0 1 0 0 0 0
2.842380 -0.794878 -0.324949 0.007922 -0.000197 0.000002 -245.704746 0 1 0 0 0 0
2.810416 -0.695518 -0.290835 0.005789 -0.000105 0.000001 -245.156352 0 1 0 0 0 0
2.785972 -0.596159 -0.253681 0.003405 -0.000024 -0.000000 -243.898280 0 1 0 0 0 0
2.768364 -0.496799 -0.214098 0.000841 0.000038 -0.000001 -242.244428 0 1 0 0 0 0
2.756616 -0.397439 -0.172741 -0.001742 0.000074 -0.000000 -240.444839 0 1 0 0 0 0
2.749874 -0.298079 -0.130192 -0.004132 0.000079 -0.000000 -238.581163 0 1 0 0 0 0
2.747709 -0.198720 -0.086932 -0.006153 0.000047 0.000000 -236.543951 0 1 0 0 0 0
2.751564 -0.099360 -0.043344 -0.007395 0.000042 0.000001 -234.546605 0 1 0 0 0 0
2.756119 0.000000 0.000000 -0.009484 0.000074 0.000001 -234.049385 0 1 0 0 0 0
2.765900 0.099360 0.042896 -0.014662 0.000223 0.000000 -235.562663 0 1 0 0 0 0
2.770307 0.198720 0.085519 -0.017383 0.000212 0.000001 -238.920487 0 1 0 0 0 0
2.770128 0.298079 0.128295 -0.017035 0.000031 0.000001 -241.763242 0 1 0 0 0 0
2.771181 0.397439 0.170930 -0.015974 -0.000142 0.000001 -244.080074 0 1 0 0 0 0
2.771569 0.496799 0.213603 -0.013912 -0.000278 -0.000001 -245.950482 0 1 0 0 0 0
2.765680 0.596159 0.257417 -0.009443 -0.000313 -0.000003 -247.558949 0 1 0 0 0 0
2.757688 0.695518 0.302063 -0.002174 -0.000181 -0.000003 -249.303313 0 1 0 0 0 0
2.764473 0.794878 0.343522 0.001524 -0.000114 -0.000003 -251.019016 0 1 0 0 0 0
2.776681 0.894238 0.383072 0.003907 -0.000082 -0.000003 -252.330404 0 1 0 0 0 0
2.792371 0.993598 0.420865 0.005800 -0.000071 -0.000004 -253.054946 0 1 0 0 0 0
2.810910 1.092958 0.456865 0.007400 -0.000077 -0.000006 -253.080783 0 1 0 0 0 0
2.831923 1.192317 0.491030 0.008753 -0.000102 -0.000008 -252.345689 0 1 0 0 0 0
2.855169 1.291677 0.523322 0.009853 -0.000146 -0.000012 -250.829782 0 1 0 0 0 0
2.880488 1.391037 0.553714 0.010688 -0.000212 -0.000015 -248.549108 0 1 0 0 0 0
2.907749 1.490397 0.582193 0.011265 -0.000300 -0.000020 -245.547410 0 1 0 0 0 0
2.936841 1.589756 0.608763 0.011615 -0.000412 -0.000025 -241.883773 0 1 0 0 0 0
2.967775 1.689116 0.633397 0.011782 -0.000546 -0.000030 -237.617658 0 1 0 0 0 0
3.001119 1.788476 0.655836 0.011733 -0.000710 -0.000037 -232.800973 0 1 0 0 0 0
3.041151 1.887836 0.674166 0.010858 -0.000960 -0.000046 -227.509776 0 1 0 0 0 0
3.214634 1.987196 0.635121 -0.009769 -0.002985 -0.000102 -226.957680 0 1 0 0 0 0
3.244459 2.086555 0.654672 -0.008559 -0.003182 -0.000115 -223.390544 0 1 0 0 0 0
3.273160 2.185915 0.673872 -0.007093 -0.003371 -0.000129 -219.223728 0 1 0 0 0 0
3.301034 2.285275 0.692655 -0.005400 -0.003552 -0.000144 -214.343758 0 1 0 0 0 0
3.328278 2.384635 0.710987 -0.003493 -0.003725 -0.000160 -208.622105 0 1 0 0 0 0
3.215223 2.483994 0.793610 0.017663 -0.002706 -0.000186 -176.529038 0 1 0 0 0 0
