r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.108842 -1.291677 -0.441403 0.019632 -0.000507 -0.000008 -133.912451 0 1 0 0 0 0
3.065444 -1.192317 -0.419067 0.016895 -0.000398 -0.000008 -138.473250 0 1 0 0 0 0
3.025080 -1.092958 -0.394465 0.014348 -0.000304 -0.000007 -142.240713 0 1 0 0 0 0
2.988059 -0.993598 -0.367545 0.012021 -0.000225 -0.000006 -145.323503 0 1 0 0 0 0
2.954502 -0.894238 -0.338348 0.009932 -0.000162 -0.000005 -147.824157 0 1 0 0 0 0
2.924349 -0.794878 -0.306988 0.008086 -0.000111 -0.000004 -149.836902 0 1 0 0 0 0
2.895783 -0.695518 -0.273940 0.006516 -0.000079 -0.000003 -151.422607 0 1 0 0 0 0
2.872705 -0.574187 -0.229800 0.004990 -0.000061 -0.000001 -151.780422 0 1 0 0 0 0
2.901965 -0.546008 -0.214138 0.006044 -0.000156 0.000002 -81.509036 0 1 0 0 0 0
2.814885 -0.451880 -0.188357 0.001378 0.000026 -0.000001 -150.679252 0 1 0 0 0 0
2.962910 -0.163515 -0.061517 0.001987 -0.000029 0.000001 -75.882433 0 1 0 0 0 0
2.893986 -0.090641 -0.035745 -0.008302 0.000111 -0.000000 -57.953906 0 1 0 0 0 0
2.821866 -0.043611 -0.018089 -0.000173 0.000003 0.000000 -139.849151 0 1 0 0 0 0
2.959374 0.035895 0.013537 0.002946 0.000153 0.000003 -13.979505 0 1 0 0 0 0
2.792924 0.130733 0.055354 0.000608 0.000003 0.000000 -151.353134 0 1 0 0 0 0
2.948754 0.234356 0.089018 0.015115 0.000214 0.000003 -66.635855 0 1 0 0 0 0
3.011840 0.268150 0.097632 -0.008823 -0.000047 -0.000001 -69.791713 0 1 0 0 0 0
3.009249 0.425656 0.155246 0.007397 0.000037 0.000000 -28.685222 0 1 0 0 0 0
2.941103 0.535333 0.204401 -0.003132 -0.000166 -0.000003 2.672321 0 1 0 0 0 0
2.959319 0.594759 0.224304 0.003407 -0.000038 -0.000002 -152.466063 0 1 0 0 0 0
2.997347 0.740000 0.272042 -0.001252 -0.000317 -0.000008 -54.008519 0 1 0 0 0 0
2.991278 0.794878 0.293404 0.004963 -0.000102 -0.000005 -151.483675 0 1 0 0 0 0
3.007790 0.894238 0.326465 0.005944 -0.000137 -0.000007 -150.686779 0 1 0 0 0 0
3.023792 0.993598 0.358910 0.007113 -0.000169 -0.000010 -149.595362 0 1 0 0 0 0
3.039760 1.092958 0.390664 0.008356 -0.000202 -0.000013 -148.195238 0 1 0 0 0 0
3.055800 1.192317 0.421717 0.009637 -0.000239 -0.000017 -146.479723 0 1 0 0 0 0
3.071842 1.291677 0.452100 0.010948 -0.000279 -0.000022 -144.428937 0 1 0 0 0 0
3.087799 1.391037 0.481858 0.012282 -0.000323 -0.000027 -142.017353 0 1 0 0 0 0
3.103412 1.490397 0.511095 0.013616 -0.000372 -0.000032 -139.211033 0 1 0 0 0 0
3.117754 1.589756 0.540164 0.014861 -0.000426 -0.000038 -135.968964 0 1 0 0 0 0
3.131035 1.689116 0.569066 0.016011 -0.000486 -0.000042 -132.285103 0 1 0 0 0 0
3.144265 1.788476 0.597480 0.017158 -0.000553 -0.000046 -128.137022 0 1 0 0 0 0
3.157772 1.887836 0.625290 0.018356 -0.000627 -0.000051 -123.466136 0 1 0 0 0 0
3.171719 1.987196 0.652424 0.019649 -0.000707 -0.000056 -118.191020 0 1 0 0 0 0
3.186308 2.086555 0.678786 0.021069 -0.000792 -0.000061 -112.203737 0 1 0 0 0 0
3.201881 2.185915 0.704209 0.022626 -0.000882 -0.000068 -105.362701 0 1 0 0 0 0
3.218925 2.285275 0.728443 0.024295 -0.000979 -0.000076 -97.487409 0 1 0 0 0 0
3.237840 2.384634 0.751259 0.026035 -0.001086 -0.000086 -88.360759 0 1 0 0 0 0
3.258410 2.483977 0.772707 0.027857 -0.001214 -0.000099 -77.742271 0 1 0 0 0 0
