r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.029654 -1.291677 -0.464779 0.020357 -0.000659 0.000005 -150.163518 0 1 0 0 0 0
3.004702 -1.192317 -0.436182 0.018267 -0.000637 0.000009 -152.830596 0 1 0 0 0 0
2.982477 -1.092958 -0.405815 0.016010 -0.000593 0.000011 -156.478873 0 1 0 0 0 0
2.959406 -0.993598 -0.374697 0.013691 -0.000529 0.000012 -160.972851 0 1 0 0 0 0
2.927327 -0.894238 -0.344659 0.011425 -0.000408 0.000008 -164.851845 0 1 0 0 0 0
2.899857 -0.794878 -0.312195 0.009187 -0.000289 0.000004 -167.524727 0 1 0 0 0 0
2.876695 -0.695518 -0.277587 0.007024 -0.000183 0.000002 -169.243241 0 1 0 0 0 0
2.857667 -0.596159 -0.241111 0.004975 -0.000097 0.000001 -170.223962 0 1 0 0 0 0
2.842678 -0.496799 -0.203050 0.003096 -0.000035 -0.000000 -170.641024 0 1 0 0 0 0
2.831551 -0.397439 -0.163720 0.001491 -0.000001 -0.000000 -170.626948 0 1 0 0 0 0
2.823935 -0.298079 -0.123453 0.000400 0.000007 -0.000000 -170.284381 0 1 0 0 0 0
2.819430 -0.198720 -0.082565 0.000066 0.000002 -0.000000 -169.714595 0 1 0 0 0 0
2.817245 -0.099360 -0.041347 -0.000007 0.000000 0.000000 -169.232844 0 1 0 0 0 0
2.816609 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -169.069682 0 1 0 0 0 0
2.817262 0.099360 0.041346 0.000006 -0.000000 -0.000000 -169.239547 0 1 0 0 0 0
2.819105 0.198720 0.082584 -0.000039 -0.000002 -0.000000 -169.738718 0 1 0 0 0 0
2.822168 0.298079 0.123607 -0.000219 -0.000006 -0.000000 -170.556013 0 1 0 0 0 0
2.826890 0.397439 0.164260 -0.000754 -0.000018 -0.000000 -171.632968 0 1 0 0 0 0
2.833602 0.496799 0.204353 -0.001015 -0.000039 -0.000000 -172.836878 0 1 0 0 0 0
2.842218 0.596159 0.243739 -0.000177 -0.000061 -0.000001 -173.857184 0 1 0 0 0 0
2.852918 0.695518 0.282234 0.001009 -0.000080 -0.000002 -174.586668 0 1 0 0 0 0
2.865448 0.794878 0.319738 0.002358 -0.000098 -0.000003 -174.968762 0 1 0 0 0 0
2.879557 0.894238 0.356189 0.003798 -0.000114 -0.000004 -174.949805 0 1 0 0 0 0
2.895038 0.993598 0.391544 0.005277 -0.000131 -0.000006 -174.487912 0 1 0 0 0 0
2.911732 1.092958 0.425774 0.006759 -0.000149 -0.000009 -173.549198 0 1 0 0 0 0
2.929521 1.192317 0.458857 0.008221 -0.000172 -0.000012 -172.105576 0 1 0 0 0 0
2.948314 1.291677 0.490778 0.009644 -0.000199 -0.000015 -170.133437 0 1 0 0 0 0
2.968048 1.391037 0.521525 0.011020 -0.000233 -0.000019 -167.612686 0 1 0 0 0 0
2.988675 1.490397 0.551091 0.012345 -0.000273 -0.000023 -164.525748 0 1 0 0 0 0
3.010164 1.589756 0.579468 0.013620 -0.000321 -0.000028 -160.856246 0 1 0 0 0 0
3.032497 1.689116 0.606649 0.014851 -0.000376 -0.000033 -156.587105 0 1 0 0 0 0
3.055682 1.788476 0.632624 0.016048 -0.000438 -0.000038 -151.698017 0 1 0 0 0 0
3.079748 1.887836 0.657374 0.017222 -0.000508 -0.000043 -146.162422 0 1 0 0 0 0
3.104748 1.987196 0.680874 0.018382 -0.000585 -0.000049 -139.944319 0 1 0 0 0 0
3.130759 2.086555 0.703087 0.019535 -0.000670 -0.000055 -132.995195 0 1 0 0 0 0
3.157874 2.185915 0.723973 0.020681 -0.000765 -0.000061 -125.251246 0 1 0 0 0 0
3.186212 2.285275 0.743478 0.021814 -0.000871 -0.000069 -116.631228 0 1 0 0 0 0
3.215946 2.384635 0.761523 0.022914 -0.000995 -0.000077 -107.035890 0 1 0 0 0 0
3.247332 2.483994 0.777994 0.023944 -0.001143 -0.000087 -96.349932 0 1 0 0 0 0
