r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.948842 -1.291677 -0.490602 0.021953 -0.000829 0.000009 -105.746081 0 1 0 0 0 0
2.893801 -1.192317 -0.470255 0.018797 -0.000651 0.000005 -108.453112 0 1 0 0 0 0
2.866813 -1.092958 -0.439221 0.016629 -0.000597 0.000008 -110.669159 0 1 0 0 0 0
2.850845 -0.993598 -0.403778 0.014826 -0.000584 0.000012 -114.131824 0 1 0 0 0 0
2.830259 -0.894238 -0.368705 0.012779 -0.000536 0.000013 -118.681606 0 1 0 0 0 0
2.787524 -0.794878 -0.337864 0.010357 -0.000397 0.000008 -122.501005 0 1 0 0 0 0
2.749455 -0.695518 -0.303874 0.008002 -0.000268 0.000005 -125.113169 0 1 0 0 0 0
2.716599 -0.596159 -0.266802 0.005806 -0.000159 0.000002 -126.768132 0 1 0 0 0 0
2.689527 -0.496799 -0.226834 0.003830 -0.000077 0.000001 -127.652771 0 1 0 0 0 0
2.668686 -0.397439 -0.184312 0.002134 -0.000024 -0.000000 -127.911449 0 1 0 0 0 0
2.654190 -0.298079 -0.139748 0.000852 -0.000001 -0.000000 -127.670689 0 1 0 0 0 0
2.645791 -0.198720 -0.093758 0.000228 0.000001 -0.000000 -127.068797 0 1 0 0 0 0
2.642132 -0.099360 -0.047009 0.000034 0.000000 -0.000000 -126.465704 0 1 0 0 0 0
2.641072 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -126.252908 0 1 0 0 0 0
2.642010 0.099360 0.047013 0.000025 -0.000000 -0.000000 -126.470863 0 1 0 0 0 0
2.644739 0.198720 0.093833 0.000057 -0.000001 -0.000000 -127.120729 0 1 0 0 0 0
2.649373 0.298079 0.140257 -0.000025 -0.000005 -0.000000 -128.179075 0 1 0 0 0 0
2.657127 0.397439 0.185919 -0.000397 -0.000019 -0.000000 -129.493492 0 1 0 0 0 0
2.668142 0.496799 0.230484 -0.000146 -0.000039 -0.000001 -130.858666 0 1 0 0 0 0
2.682600 0.596159 0.273608 0.000941 -0.000053 -0.000001 -131.887373 0 1 0 0 0 0
2.700069 0.695518 0.315092 0.002240 -0.000064 -0.000002 -132.528699 0 1 0 0 0 0
2.719980 0.794878 0.354852 0.003651 -0.000071 -0.000004 -132.747273 0 1 0 0 0 0
2.741872 0.894238 0.392860 0.005112 -0.000078 -0.000005 -132.526077 0 1 0 0 0 0
2.765370 0.993598 0.429124 0.006578 -0.000086 -0.000007 -131.859475 0 1 0 0 0 0
2.790158 1.092958 0.463687 0.008019 -0.000098 -0.000010 -130.748599 0 1 0 0 0 0
2.815960 1.192317 0.496612 0.009415 -0.000115 -0.000013 -129.199207 0 1 0 0 0 0
2.842540 1.291677 0.527983 0.010757 -0.000139 -0.000016 -127.220046 0 1 0 0 0 0
2.869702 1.391037 0.557884 0.012050 -0.000170 -0.000020 -124.820599 0 1 0 0 0 0
2.897321 1.490397 0.586391 0.013304 -0.000208 -0.000024 -122.007883 0 1 0 0 0 0
2.925353 1.589756 0.613554 0.014537 -0.000252 -0.000028 -118.782777 0 1 0 0 0 0
2.953840 1.689116 0.639388 0.015763 -0.000302 -0.000033 -115.136904 0 1 0 0 0 0
2.982882 1.788476 0.663880 0.016992 -0.000357 -0.000038 -111.050794 0 1 0 0 0 0
3.012604 1.887836 0.687003 0.018229 -0.000418 -0.000043 -106.493319 0 1 0 0 0 0
3.043123 1.987196 0.708729 0.019472 -0.000486 -0.000048 -101.421769 0 1 0 0 0 0
3.074521 2.086555 0.729044 0.020715 -0.000561 -0.000054 -95.781780 0 1 0 0 0 0
3.106847 2.185915 0.747949 0.021948 -0.000646 -0.000060 -89.506511 0 1 0 0 0 0
3.140130 2.285275 0.765459 0.023157 -0.000745 -0.000068 -82.514967 0 1 0 0 0 0
3.174398 2.384635 0.781588 0.024324 -0.000862 -0.000076 -74.709882 0 1 0 0 0 0
3.209688 2.483994 0.796350 0.025422 -0.001005 -0.000087 -65.975458 0 1 0 0 0 0
